"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","fert_actual","formula","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count","id_ea","hh_formula","ea_formula","comm_formula","final_formula"
"81",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,1,21739003001,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,8,3,2,3,"21739003",NA,NA,NA,NA
"82",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,1,21739003001,4,2,3,6,4,NA,"npk, Kali, ure",NA,NA,NA,7,3,8,3,"21739003",NA,NA,NA,NA
"83",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,2,21739003002,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,18,3,1,3,"21739003",NA,NA,NA,NA
"84",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,2,21739003002,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,24,3,4,3,"21739003",NA,NA,NA,NA
"85",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,2,21739003002,4,2,3,6,4,NA,"npk, Kali, ure",NA,NA,NA,21,3,8,3,"21739003",NA,NA,NA,NA
"86",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,3,21739003003,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,7,3,1,3,"21739003",NA,NA,NA,NA
"87",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,3,21739003003,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,9,3,6,3,"21739003",NA,NA,NA,NA
"88",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,3,21739003003,4,2,3,6,4,NA,"npk, ure,kali",NA,NA,NA,8,3,8,3,"21739003",NA,NA,NA,NA
"89",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,4,21739003004,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,6,3,1,3,"21739003",NA,NA,NA,NA
"90",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,4,21739003004,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,8,3,6,3,"21739003",NA,NA,NA,NA
"91",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,4,21739003004,4,2,3,6,4,NA,"Kali, npk, ure",NA,NA,NA,7,3,9,3,"21739003",NA,NA,NA,NA
"92",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,5,21739003005,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,48,3,1,3,"21739003",NA,NA,NA,NA
"93",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,5,21739003005,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,48,3,4,3,"21739003",NA,NA,NA,NA
"94",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,5,21739003005,4,2,3,6,4,NA,"npk, Kali, ure",NA,NA,NA,48,3,8,3,"21739003",NA,NA,NA,NA
"95",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,7,21739003007,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,12,3,1,3,"21739003",NA,NA,NA,NA
"96",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,7,21739003007,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,14,3,3,3,"21739003",NA,NA,NA,NA
"97",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,7,21739003007,4,2,3,6,4,NA,"npk, Kali, ure",NA,NA,NA,16,3,8,3,"21739003",NA,NA,NA,NA
"98",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,8,21739003008,4,0,3,6,4,NA,"ure, npk",NA,NA,NA,12,3,1,3,"21739003",NA,NA,NA,NA
"99",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,8,21739003008,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,16,3,4,3,"21739003",NA,NA,NA,NA
"100",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,8,21739003008,4,2,3,6,4,NA,"Kali, npk, ure",NA,NA,NA,14,3,9,3,"21739003",NA,NA,NA,NA
"101",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,9,21739003009,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,42,3,1,3,"21739003",NA,NA,NA,NA
"102",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,9,21739003009,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,16,3,1,3,"21739003",NA,NA,NA,NA
"103",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,9,21739003009,4,2,3,6,4,NA,"npk, ure",NA,NA,NA,18,3,2,3,"21739003",NA,NA,NA,NA
"104",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,11,21739003011,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,16,3,1,3,"21739003",NA,NA,NA,NA
"105",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,11,21739003011,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,18,3,4,3,"21739003",NA,NA,NA,NA
"106",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,11,21739003011,4,2,3,6,4,NA,"npk, Kali, ure",NA,NA,NA,14,3,8,3,"21739003",NA,NA,NA,NA
"107",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,12,21739003012,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,12,3,1,3,"21739003",NA,NA,NA,NA
"108",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,12,21739003012,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,14,3,5,3,"21739003",NA,NA,NA,NA
"109",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,12,21739003012,4,2,3,6,4,NA,"Kali, npk, ure",NA,NA,NA,16,3,8,3,"21739003",NA,NA,NA,NA
"110",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,13,21739003013,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,18,3,2,3,"21739003",NA,NA,NA,NA
"111",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,13,21739003013,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,18,3,4,3,"21739003",NA,NA,NA,NA
"112",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,13,21739003013,4,2,3,6,4,NA,"npk, Kali, ure",NA,NA,NA,20,3,8,3,"21739003",NA,NA,NA,NA
"113",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,5,21832003005,4,0,3,6,4,NA,"đạm .npk",NA,NA,NA,8,3,5,3,"21832003",NA,NA,NA,NA
"114",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,5,21832003005,4,1,3,6,4,NA,"đạm.npk",NA,NA,NA,10,3,9,3,"21832003",NA,NA,NA,NA
"115",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,7,21832003007,4,0,3,6,4,NA,"đạm.npk",NA,NA,NA,8,3,3,3,"21832003",NA,NA,NA,NA
"116",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,7,21832003007,4,2,3,6,4,NA,"đạm.kali.npk",NA,NA,NA,10,3,9,3,"21832003",NA,NA,NA,NA
"117",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,8,21832003008,4,0,3,6,4,NA,"đạm.npk",NA,NA,NA,8,3,5,3,"21832003",NA,NA,NA,NA
"118",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,8,21832003008,4,1,3,6,4,NA,"đạm.npk",NA,NA,NA,10,3,7,3,"21832003",NA,NA,NA,NA
"119",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,10,21832003010,4,0,3,6,4,NA,"đạm.npk",NA,NA,NA,8,3,4,3,"21832003",NA,NA,NA,NA
"120",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,10,21832003010,4,1,3,6,4,NA,"đạm.npk",NA,NA,NA,10,3,7,3,"21832003",NA,NA,NA,NA
"121",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,10,21832003010,4,2,3,6,4,NA,"Kali.npk",NA,NA,NA,10,3,9,3,"21832003",NA,NA,NA,NA
"122",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,11,21832003011,4,0,3,6,4,NA,"đạm.npk",NA,NA,NA,8,3,3,3,"21832003",NA,NA,NA,NA
"123",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,11,21832003011,4,1,3,6,4,NA,"đạm.npk",NA,NA,NA,10,3,7,3,"21832003",NA,NA,NA,NA
"124",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,13,21832003013,4,0,3,6,4,NA,"đạm.npk",NA,NA,NA,8,3,4,3,"21832003",NA,NA,NA,NA
"125",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,13,21832003013,4,1,3,6,4,NA,"đạm.npk",NA,NA,NA,10,3,5,3,"21832003",NA,NA,NA,NA
"126",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,13,21832003013,4,2,3,6,4,NA,"đạm.kali.npk",NA,NA,NA,10,3,7,3,"21832003",NA,NA,NA,NA
"127",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,15,21832003015,4,0,3,6,4,NA,"npk.đạm",NA,NA,NA,7,3,3,3,"21832003",NA,NA,NA,NA
"128",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,15,21832003015,4,1,3,6,4,NA,"npk.đạm",NA,NA,NA,10,3,7,3,"21832003",NA,NA,NA,NA
"129",52,"Tinh Binh Dinh","3_NCCCA",547,21832,3,15,21832003015,4,2,3,6,4,NA,"đạm.npk.kaly",NA,NA,NA,10,3,8,3,"21832003",NA,NA,NA,NA
"130",52,"Tinh Binh Dinh","3_NCCCA",549,21919,18,1,21919018001,4,0,4,6,4,NA,"phân hỗn hợp chuyên dùng",NA,NA,NA,8,3,2,4,"21919018",NA,NA,NA,NA
"131",52,"Tinh Binh Dinh","3_NCCCA",549,21919,18,1,21919018001,4,1,4,6,4,NA,"phân hỗn hợp chuyên dùng",NA,NA,NA,8,3,4,4,"21919018",NA,NA,NA,NA
"132",52,"Tinh Binh Dinh","3_NCCCA",549,21919,18,1,21919018001,4,2,4,6,4,NA,"phân hỗn hợp chuyên dùng",NA,NA,NA,8,3,8,4,"21919018",NA,NA,NA,NA
"133",52,"Tinh Binh Dinh","3_NCCCA",549,21919,18,1,21919018001,4,3,4,6,4,NA,"phân hỗn hợp chuyên dùng",NA,NA,NA,8,3,10,4,"21919018",NA,NA,NA,NA
"134",52,"Tinh Binh Dinh","3_NCCCA",549,21919,18,7,21919018007,4,0,4,6,4,NA,"hỗn hợp chuyên dùng",NA,NA,NA,8,3,2,4,"21919018",NA,NA,NA,NA
"135",62,"Tinh Kon Tum","4_Central Highlands",608,23305,16,9,23305016009,4,0,2,6,4,NA,"tổng hợp",NA,NA,NA,40,4,4,2,"23305016",NA,NA,NA,NA
"136",62,"Tinh Kon Tum","4_Central Highlands",608,23305,16,9,23305016009,4,1,2,6,4,NA,"tổng hợp",NA,NA,NA,40,5,10,2,"23305016",NA,NA,NA,NA
"137",84,"Tinh Tra Vinh","6_MRD",849,29488,13,1,29488013001,4,0,3,6,4,NA,"ure. NPK. DAP",NA,NA,NA,10,4,1,3,"29488013",NA,NA,NA,NA
"138",84,"Tinh Tra Vinh","6_MRD",849,29488,13,1,29488013001,4,1,3,6,4,NA,"URE. NPK. DAP",NA,NA,NA,12,4,4,3,"29488013",NA,NA,NA,NA
"139",84,"Tinh Tra Vinh","6_MRD",849,29488,13,1,29488013001,4,2,3,6,4,NA,"URE. DAP. NPK",NA,NA,NA,15,4,8,3,"29488013",NA,NA,NA,NA
"140",84,"Tinh Tra Vinh","6_MRD",849,29488,13,4,29488013004,4,3,3,6,4,NA,"đạm. dap. npk",NA,NA,NA,10,4,8,3,"29488013",NA,NA,NA,NA
"141",84,"Tinh Tra Vinh","6_MRD",849,29488,13,6,29488013006,4,0,3,6,4,NA,"đạm, npk, lân. kali",NA,NA,NA,12,4,1,3,"29488013",NA,NA,NA,NA
"142",84,"Tinh Tra Vinh","6_MRD",849,29488,13,6,29488013006,4,1,3,6,4,NA,"npk. đạm. kali. lân",NA,NA,NA,15,4,5,3,"29488013",NA,NA,NA,NA
"143",84,"Tinh Tra Vinh","6_MRD",849,29488,13,6,29488013006,4,2,3,6,4,NA,"kali.npk.lân. đạm",NA,NA,NA,16,4,9,3,"29488013",NA,NA,NA,NA
"144",84,"Tinh Tra Vinh","6_MRD",849,29488,13,8,29488013008,4,0,3,6,4,NA,"đạm. npk. kali",NA,NA,NA,10,4,1,3,"29488013",NA,NA,NA,NA
"145",84,"Tinh Tra Vinh","6_MRD",849,29488,13,8,29488013008,4,1,3,6,4,NA,"đạm. npk. kali",NA,NA,NA,12,4,4,3,"29488013",NA,NA,NA,NA
"146",84,"Tinh Tra Vinh","6_MRD",849,29488,13,8,29488013008,4,2,3,6,4,NA,"đạm. npk .kali",NA,NA,NA,15,4,8,3,"29488013",NA,NA,NA,NA
"147",84,"Tinh Tra Vinh","6_MRD",849,29488,13,9,29488013009,4,0,3,6,4,NA,"DAP. ĐẠM. NPK",NA,NA,NA,10,4,1,3,"29488013",NA,NA,NA,NA
"148",84,"Tinh Tra Vinh","6_MRD",849,29488,13,9,29488013009,4,1,3,6,4,NA,"ĐẠM. NPK. DAP",NA,NA,NA,15,4,3,3,"29488013",NA,NA,NA,NA
"149",84,"Tinh Tra Vinh","6_MRD",849,29488,13,9,29488013009,4,2,3,6,4,NA,"NPK. ĐẠM. DAP",NA,NA,NA,10,4,8,3,"29488013",NA,NA,NA,NA
"150",84,"Tinh Tra Vinh","6_MRD",849,29488,13,10,29488013010,4,0,3,6,4,NA,"NPK. DAP. ĐẠM",NA,NA,NA,12,4,1,3,"29488013",NA,NA,NA,NA
"151",84,"Tinh Tra Vinh","6_MRD",849,29488,13,10,29488013010,4,1,3,6,4,NA,"NPK. DAP.ĐẠM",NA,NA,NA,15,4,5,3,"29488013",NA,NA,NA,NA
"152",84,"Tinh Tra Vinh","6_MRD",849,29488,13,10,29488013010,4,2,3,6,4,NA,"DAP. NPK.ĐẠM",NA,NA,NA,15,4,9,3,"29488013",NA,NA,NA,NA
"153",84,"Tinh Tra Vinh","6_MRD",849,29488,13,11,29488013011,4,0,3,6,4,NA,"ĐẠM. NPK. KALI",NA,NA,NA,10,4,1,3,"29488013",NA,NA,NA,NA
"154",84,"Tinh Tra Vinh","6_MRD",849,29488,13,11,29488013011,4,1,3,6,4,NA,"ĐẠM. NPK. DAP. KALI",NA,NA,NA,15,4,5,3,"29488013",NA,NA,NA,NA
"155",84,"Tinh Tra Vinh","6_MRD",849,29488,13,11,29488013011,4,2,3,6,4,NA,"ĐẠM. DAP. NPK",NA,NA,NA,12,4,9,3,"29488013",NA,NA,NA,NA
"156",84,"Tinh Tra Vinh","6_MRD",849,29488,13,12,29488013012,4,1,3,6,4,NA,"ĐẠM. KALI. NPK. DAP",NA,NA,NA,12,4,1,3,"29488013",NA,NA,NA,NA
"157",84,"Tinh Tra Vinh","6_MRD",849,29488,13,12,29488013012,4,2,3,6,4,NA,"NPK. ĐẠM. DAP",NA,NA,NA,15,4,5,3,"29488013",NA,NA,NA,NA
"158",84,"Tinh Tra Vinh","6_MRD",849,29488,13,12,29488013012,4,3,3,6,4,NA,"ĐẠM. DAP. NPK",NA,NA,NA,15,4,9,3,"29488013",NA,NA,NA,NA
"159",84,"Tinh Tra Vinh","6_MRD",849,29488,13,15,29488013015,4,0,3,6,4,NA,"DAP. ĐẠM. NPK",NA,NA,NA,15,4,1,3,"29488013",NA,NA,NA,NA
"160",84,"Tinh Tra Vinh","6_MRD",849,29488,13,15,29488013015,4,1,3,6,4,NA,"DAP. ĐẠM. NPK",NA,NA,NA,15,4,4,3,"29488013",NA,NA,NA,NA
"161",84,"Tinh Tra Vinh","6_MRD",849,29488,13,15,29488013015,4,2,3,6,4,NA,"Đạm. NPK. DAP",NA,NA,NA,12,4,9,3,"29488013",NA,NA,NA,NA
