"","X","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B13A_C1","M4B13A_C2","M4B13A_C3","M4B13A_C4","SWCP","SWCP_confirmed"
"324",324,23395004008,62,611,23395,4,8,2,2,3,20,2,1,1
"325",325,23395004009,62,611,23395,4,9,2,2,4,200,4,0,0
"326",326,23395004010,62,611,23395,4,10,2,2,3,200,1,1,1
"327",327,23395004012,62,611,23395,4,12,2,2,3,150,3,1,1
"328",328,23395004013,62,611,23395,4,13,2,1,4,200,2,0,0
"329",329,23395004014,62,611,23395,4,14,2,1,4,10,2,0,0
"330",330,23395004015,62,611,23395,4,15,2,2,3,250,4,1,0
"331",331,23401005001,62,612,23401,5,1,2,1,3,75,3,1,1
"332",332,23401005006,62,612,23401,5,6,2,1,2,80,2,1,1
"333",333,23401005009,62,612,23401,5,9,2,1,2,80,3,1,1
"334",334,23401005012,62,612,23401,5,12,2,1,3,65,2,1,1
"335",335,23473007004,62,613,23473,7,4,2,1,99,1000,2,0,0
"336",336,23527003009,62,616,23527,3,9,2,1,8,450,2,0,0
"337",337,23527003012,62,616,23527,3,12,2,1,6,400,2,0,0
"338",338,23582020014,64,622,23582,20,14,2,3,3,12,2,1,1
"339",339,23584001001,64,622,23584,1,1,2,3,2,5,2,1,1
"340",340,23584001002,64,622,23584,1,2,2,3,2,5,2,1,1
"341",341,23584001005,64,622,23584,1,5,2,1,1,5,2,1,1
"342",342,23584001006,64,622,23584,1,6,2,1,2,5,2,1,1
"343",343,23584001008,64,622,23584,1,8,2,3,2,5,2,1,1
"344",344,23584001009,64,622,23584,1,9,2,3,2,5,2,1,1
"345",345,23584001010,64,622,23584,1,10,2,1,2,5,2,1,1
"346",346,23584001013,64,622,23584,1,13,2,3,2,5,2,1,1
"347",347,23584001014,64,622,23584,1,14,2,3,2,5,2,1,1
"348",348,23584001015,64,622,23584,1,15,2,1,5,10,2,0,0
"349",349,23692016001,64,626,23692,16,1,2,1,4,160,2,0,0
"350",350,23692016002,64,626,23692,16,2,2,1,4,250,2,0,0
"351",351,23692016005,64,626,23692,16,5,2,1,4,270,2,0,0
"352",352,23692016006,64,626,23692,16,6,2,1,4,245,2,0,0
"353",353,23692016008,64,626,23692,16,8,2,1,3,150,2,1,1
"354",354,23692016009,64,626,23692,16,9,2,1,4,300,2,0,0
"355",355,23692016011,64,626,23692,16,11,2,1,4,310,2,0,0
"356",356,23692016012,64,626,23692,16,12,2,1,4,150,2,0,0
"357",357,23692016013,64,626,23692,16,13,2,1,3,5,2,1,1
"358",358,23692016014,64,626,23692,16,14,2,1,4,265,2,0,0
"359",359,23692016015,64,626,23692,16,15,2,1,4,310,2,0,0
"360",360,23716005001,64,626,23716,5,1,2,1,3,180,2,1,1
"361",361,23716005002,64,626,23716,5,2,2,1,3,180,2,1,1
"362",362,23716005003,64,626,23716,5,3,2,1,4,200,2,0,0
"363",363,23716005004,64,626,23716,5,4,2,1,3,150,2,1,1
"364",364,23716005005,64,626,23716,5,5,2,1,4,190,2,0,0
"365",365,23716005006,64,626,23716,5,6,2,1,3,200,2,1,1
"366",366,23716005007,64,626,23716,5,7,2,1,4,190,3,0,0
"367",367,23716005008,64,626,23716,5,8,2,1,4,150,2,0,0
"368",368,23716005009,64,626,23716,5,9,2,1,4,190,2,0,0
"369",369,23716005010,64,626,23716,5,10,2,1,200,190,2,0,0
"370",370,23716005011,64,626,23716,5,11,2,1,4,180,2,0,0
"371",371,23716005012,64,626,23716,5,12,2,1,4,190,2,0,0
"372",372,23716005013,64,626,23716,5,13,2,1,4,190,4,0,0
"373",373,23716005014,64,626,23716,5,14,2,1,3,200,2,1,1
"374",374,23716005015,64,626,23716,5,15,2,1,4,200,3,0,0
"375",375,23728010001,64,627,23728,10,1,2,5,99,3,4,0,0
"376",376,23728010002,64,627,23728,10,2,2,5,99,2,4,0,0
"377",377,23728010005,64,627,23728,10,5,2,5,99,5,4,0,0
"378",378,23728010012,64,627,23728,10,12,2,1,2,20,4,1,0
"379",379,23947014001,64,633,23947,14,1,2,1,4,100,4,0,0
"380",380,23947014002,64,633,23947,14,2,2,1,5,100,4,0,0
"381",381,23947014003,64,633,23947,14,3,2,1,5,100,4,0,0
"382",382,23947014004,64,633,23947,14,4,2,1,5,90,4,0,0
"383",383,23947014005,64,633,23947,14,5,2,1,5,120,4,0,0
"384",384,23947014006,64,633,23947,14,6,2,1,5,100,4,0,0
"385",385,23947014007,64,633,23947,14,7,2,1,4,100,4,0,0
"386",386,23947014009,64,633,23947,14,9,2,1,4,100,4,0,0
"387",387,23947014011,64,633,23947,14,11,2,1,3,100,4,1,0
"388",388,23947014012,64,633,23947,14,12,2,1,4,100,4,0,0
"389",389,23947014013,64,633,23947,14,13,2,1,3,100,4,1,0
"390",390,23947014014,64,633,23947,14,14,2,1,5,100,4,0,0
"391",391,23947014015,64,633,23947,14,15,2,1,4,100,4,0,0
"392",392,23966010001,64,633,23966,10,1,2,1,5,100,4,0,0
"393",393,23966010002,64,633,23966,10,2,2,3,5,8,4,0,0
"394",394,23966010003,64,633,23966,10,3,2,1,5,100,4,0,0
"395",395,23966010006,64,633,23966,10,6,2,1,5,100,4,0,0
"396",396,23966010007,64,633,23966,10,7,2,1,5,100,4,0,0
"397",397,23966010008,64,633,23966,10,8,2,1,5,100,4,0,0
"398",398,23966010009,64,633,23966,10,9,2,1,5,100,4,0,0
"399",399,23966010012,64,633,23966,10,12,2,1,6,100,4,0,0
"400",400,23966010015,64,633,23966,10,15,2,1,5,100,4,0,0
"401",401,23977013001,64,633,23977,13,1,2,1,5,100,4,0,0
"402",402,23977013002,64,633,23977,13,2,2,1,5,100,4,0,0
"403",403,23977013003,64,633,23977,13,3,2,1,5,100,4,0,0
"404",404,23977013004,64,633,23977,13,4,2,1,4,9,4,0,0
"405",405,23977013005,64,633,23977,13,5,2,1,5,100,4,0,0
"406",406,23977013006,64,633,23977,13,6,2,1,6,120,4,0,0
"407",407,23977013007,64,633,23977,13,7,2,1,5,100,4,0,0
"408",408,23977013008,64,633,23977,13,8,2,1,6,120,4,0,0
"409",409,23977013009,64,633,23977,13,9,2,1,6,110,4,0,0
"410",410,23977013010,64,633,23977,13,10,2,1,5,10,4,0,0
"411",411,23977013011,64,633,23977,13,11,2,1,6,100,4,0,0
"412",412,23977013012,64,633,23977,13,12,2,1,5,100,4,0,0
"413",413,23977013013,64,633,23977,13,13,2,1,5,10,4,0,0
"414",414,23977013014,64,633,23977,13,14,2,1,5,100,4,0,0
"415",415,23977013015,64,633,23977,13,15,2,1,6,100,4,0,0
"416",416,24145021003,66,643,24145,21,3,2,1,5,400,2,0,0
"417",417,24166044008,66,643,24166,44,8,2,1,4,50,3,0,0
"418",418,24241019001,66,647,24241,19,1,2,2,5,70,4,0,0
"419",419,24241019012,66,647,24241,19,12,2,1,5,70,2,0,0
"420",420,24277015001,66,648,24277,15,1,2,1,3,150,2,1,1
"421",421,24277015002,66,648,24277,15,2,2,1,3,180,2,1,1
"422",422,24277015003,66,648,24277,15,3,2,1,3,160,2,1,1
"423",423,24277015004,66,648,24277,15,4,2,1,3,160,2,1,1
"424",424,24277015006,66,648,24277,15,6,2,1,3,165,2,1,1
"425",425,24277015007,66,648,24277,15,7,2,1,3,140,2,1,1
"426",426,24277015008,66,648,24277,15,8,2,1,3,150,2,1,1
"427",427,24277015009,66,648,24277,15,9,2,1,3,180,2,1,1
"428",428,24277015010,66,648,24277,15,10,2,1,3,160,2,1,1
"429",429,24277015011,66,648,24277,15,11,2,1,4,160,2,0,0
"430",430,24277015012,66,648,24277,15,12,2,1,3,180,2,1,1
"431",431,24277015013,66,648,24277,15,13,2,1,3,160,2,1,1
"432",432,24277015014,66,648,24277,15,14,2,1,2,170,2,1,1
"433",433,24277015015,66,648,24277,15,15,2,1,3,140,2,1,1
"434",434,24308011006,66,644,24308,11,6,2,1,4,200,2,0,0
"435",435,24308011007,66,644,24308,11,7,2,1,5,150,2,0,0
"436",436,24308011008,66,644,24308,11,8,2,1,4,150,2,0,0
"437",437,24308011012,66,644,24308,11,12,2,1,3,180,2,1,1
"438",438,24308011013,66,644,24308,11,13,2,1,6,100,2,0,0
"439",439,24314008001,66,649,24314,8,1,2,1,3,200,2,1,1
"440",440,24314008003,66,649,24314,8,3,2,1,3,200,2,1,1
"441",441,24314008004,66,649,24314,8,4,2,1,3,200,2,1,1
"442",442,24314008005,66,649,24314,8,5,2,1,3,220,2,1,1
"443",443,24314008009,66,649,24314,8,9,2,1,3,180,2,1,1
"444",444,24314008013,66,649,24314,8,13,2,1,3,220,2,1,1
"445",445,24314008014,66,649,24314,8,14,2,1,4,150,2,0,0
"446",446,24328008002,66,644,24328,8,2,2,1,3,200,4,1,0
"447",447,24328008004,66,644,24328,8,4,2,3,4,180,3,0,0
"448",448,24328008005,66,644,24328,8,5,2,1,6,220,2,0,0
"449",449,24328008006,66,644,24328,8,6,2,1,4,190,2,0,0
"450",450,24328008007,66,644,24328,8,7,2,1,3,250,2,1,1
"451",451,24328008008,66,644,24328,8,8,2,1,4,200,2,0,0
"452",452,24328008009,66,644,24328,8,9,2,1,5,220,2,0,0
"453",453,24328008010,66,644,24328,8,10,2,1,4,180,2,0,0
"454",454,24328008011,66,644,24328,8,11,2,1,3,200,2,1,1
"455",455,24328008012,66,644,24328,8,12,2,1,6,200,2,0,0
"456",456,24328008013,66,644,24328,8,13,2,1,3,180,2,1,1
"457",457,24328008014,66,644,24328,8,14,2,1,6,200,3,0,0
"458",458,24328008015,66,644,24328,8,15,2,1,3,160,2,1,1
"459",459,24397011001,66,651,24397,11,1,2,1,5,110,2,0,0
"460",460,24466015001,66,653,24466,15,1,2,1,5,320,3,0,0
"461",461,24466015003,66,653,24466,15,3,2,1,4,300,3,0,0
"462",462,24466015004,66,653,24466,15,4,2,1,4,270,3,0,0
"463",463,24466015005,66,653,24466,15,5,2,1,4,310,3,0,0
"464",464,24466015008,66,653,24466,15,8,2,1,4,250,2,0,0
"465",465,24466015011,66,653,24466,15,11,2,1,4,220,2,0,0
"466",466,24469012004,66,653,24469,12,4,2,1,4,300,3,0,0
"467",467,24520008001,66,654,24520,8,1,2,1,6,15,2,0,0
"468",468,24520008002,66,654,24520,8,2,2,1,3,20,2,1,1
"469",469,24520008003,66,654,24520,8,3,2,1,6,20,2,0,0
"470",470,24520008005,66,654,24520,8,5,2,1,5,20,2,0,0
"471",471,24520008006,66,654,24520,8,6,2,1,3,50,2,1,1
"472",472,24520008007,66,654,24520,8,7,2,1,3,30,2,1,1
"473",473,24520008008,66,654,24520,8,8,2,1,3,30,2,1,1
"474",474,24520008011,66,654,24520,8,11,2,1,3,26,2,1,1
"475",475,24520008014,66,654,24520,8,14,2,1,5,20,2,0,0
"476",476,24538003001,66,655,24538,3,1,2,2,3,200,2,1,1
"477",477,24538003003,66,655,24538,3,3,2,2,3,180,2,1,1
"478",478,24538003004,66,655,24538,3,4,2,2,3,200,2,1,1
"479",479,24538003006,66,655,24538,3,6,2,2,4,80,2,0,0
"480",480,24538003012,66,655,24538,3,12,2,1,4,100,2,0,0
"481",481,24538003013,66,655,24538,3,13,2,1,4,100,2,0,0
"482",482,24592019002,66,656,24592,19,2,2,1,4,350,2,0,0
"483",483,24592019005,66,656,24592,19,5,2,1,3,200,2,1,1
"484",484,24592019008,66,656,24592,19,8,2,1,4,160,4,0,0
"485",485,24592019009,66,656,24592,19,9,2,1,4,100,4,0,0
"486",486,24592019011,66,656,24592,19,11,2,2,4,100,4,0,0
"487",487,24592019012,66,656,24592,19,12,2,1,4,150,2,0,0
"488",488,24592019013,66,656,24592,19,13,2,1,4,300,2,0,0
"489",489,24592019014,66,656,24592,19,14,2,1,3,150,2,1,1
"490",490,24592019016,66,656,24592,19,16,2,2,4,120,4,0,0
"491",491,24612014002,67,660,24612,14,2,2,1,2,500,4,0,0
"492",492,24631010001,67,661,24631,10,1,2,1,2,100,2,1,1
"493",493,24631010002,67,661,24631,10,2,2,1,2,150,2,1,1
"494",494,24631010007,67,661,24631,10,7,2,1,50,100,2,0,0
"495",495,24631010008,67,661,24631,10,8,2,1,3,100,2,1,1
"496",496,24631010009,67,661,24631,10,9,2,1,3,100,2,1,1
"497",497,24631010011,67,661,24631,10,11,2,1,4,100,2,0,0
"498",498,24631010017,67,661,24631,10,17,2,1,2,100,2,1,1
"499",499,24652005001,67,662,24652,5,1,2,1,3,60000,2,0,0
"500",500,24652005005,67,662,24652,5,5,2,1,6,200,2,0,0
"501",501,24652005008,67,662,24652,5,8,2,1,3,330,2,1,1
"502",502,24652005010,67,662,24652,5,10,2,1,5,170,4,0,0
"503",503,24652005011,67,662,24652,5,11,2,1,5,75,4,0,0
"504",504,24652005012,67,662,24652,5,12,2,1,5,60,5,0,0
"505",505,24677010001,67,663,24677,10,1,2,1,2,190,2,1,1
"506",506,24677010002,67,663,24677,10,2,2,1,3,100,2,1,1
"507",507,24677010003,67,663,24677,10,3,2,1,2,95,2,1,1
"508",508,24677010005,67,663,24677,10,5,2,1,2,89,2,1,1
"509",509,24677010006,67,663,24677,10,6,2,1,3,80,2,1,1
"510",510,24677010007,67,663,24677,10,7,2,1,4,80,2,0,0
"511",511,24677010008,67,663,24677,10,8,2,1,3,80,2,1,1
"512",512,24677010010,67,663,24677,10,10,2,1,4,80,2,0,0
"513",513,24677010011,67,663,24677,10,11,2,1,3,90,2,1,1
"514",514,24677010012,67,663,24677,10,12,2,1,3,85,2,1,1
"515",515,24677010013,67,663,24677,10,13,2,2,3,80,2,1,1
"516",516,24677010014,67,663,24677,10,14,2,2,2,96,2,1,1
"517",517,24677010015,67,663,24677,10,15,2,1,3,80,2,1,1
"518",518,24685008002,67,663,24685,8,2,2,1,2,450,2,0,0
"519",519,24685008003,67,663,24685,8,3,2,1,3,80,2,1,1
"520",520,24685008006,67,663,24685,8,6,2,2,3,370,4,1,0
"521",521,24685008008,67,663,24685,8,8,2,1,90,2,2,0,0
"522",522,24685008009,67,663,24685,8,9,2,1,1,85,4,1,0
"523",523,24685008010,67,663,24685,8,10,2,2,3,400,2,1,1
"524",524,24685008011,67,663,24685,8,11,2,1,3,380,2,1,1
"525",525,24685008014,67,663,24685,8,14,2,1,2,85,2,1,1
"526",526,24728009002,67,665,24728,9,2,2,1,2,75,2,1,1
"527",527,24728009003,67,665,24728,9,3,2,2,2,70,2,1,1
"528",528,24728009004,67,665,24728,9,4,2,1,2,73,2,1,1
"529",529,24728009005,67,665,24728,9,5,2,2,3,75,2,1,1
"530",530,24728009007,67,665,24728,9,7,2,1,1,70,2,1,1
"531",531,24728009014,67,665,24728,9,14,2,2,2,73,2,1,1
"532",532,24728009015,67,665,24728,9,15,2,2,2,70,2,1,1
"533",533,24746017001,67,667,24746,17,1,2,1,3,100,2,1,1
"534",534,24746017002,67,667,24746,17,2,2,1,3,100,2,1,1
"535",535,24746017003,67,667,24746,17,3,2,1,3,98,2,1,1
"536",536,24746017004,67,667,24746,17,4,2,1,3,75,2,1,1
"537",537,24746017006,67,667,24746,17,6,2,1,4,150,2,0,0
"538",538,24746017008,67,667,24746,17,8,2,1,2,75,2,1,1
"539",539,24746017009,67,667,24746,17,9,2,1,2,75,2,1,1
"540",540,24746017011,67,667,24746,17,11,2,1,2,100,2,1,1
"541",541,24746017012,67,667,24746,17,12,2,1,2,210,2,1,1
"542",542,24746017013,67,667,24746,17,13,2,1,3,150,2,1,1
"543",543,24746017014,67,667,24746,17,14,2,1,3,120,2,1,1
"544",544,24746017015,67,667,24746,17,15,2,1,1,100,2,1,1
"545",545,24754008002,67,666,24754,8,2,2,2,4,100,3,0,0
"546",546,24754008003,67,666,24754,8,3,2,1,4,100,2,0,0
"547",547,24754008008,67,666,24754,8,8,2,1,4,100,2,0,0
"548",548,24754008011,67,666,24754,8,11,2,1,3,100,2,1,1
"549",549,24754008014,67,666,24754,8,14,2,1,4,100,2,0,0
"550",550,24820036008,68,673,24820,36,8,2,3,1,5,4,1,0
"551",551,24847002001,68,675,24847,2,1,2,1,1,5,4,1,0
"552",552,24847002002,68,675,24847,2,2,2,1,1,7,4,1,0
"553",553,24847002003,68,675,24847,2,3,2,1,1,5,4,1,0
"554",554,24847002004,68,675,24847,2,4,2,1,1,5,4,1,0
"555",555,24847002005,68,675,24847,2,5,2,1,1,6,4,1,0
"556",556,24847002006,68,675,24847,2,6,2,1,1,6,4,1,0
"557",557,24847002007,68,675,24847,2,7,2,1,1,5,4,1,0
"558",558,24847002008,68,675,24847,2,8,2,1,1,5,4,1,0
"559",559,24847002009,68,675,24847,2,9,2,1,1,5,4,1,0
"560",560,24847002010,68,675,24847,2,10,2,1,1,6,4,1,0
"561",561,24847002011,68,675,24847,2,11,2,1,1,6,4,1,0
"562",562,24847002012,68,675,24847,2,12,2,1,1,6,4,1,0
"563",563,24847002013,68,675,24847,2,13,2,1,1,6,4,1,0
"564",564,24847002015,68,675,24847,2,15,2,1,1,6,4,1,0
"565",565,24875016001,68,674,24875,16,1,2,2,3,65,3,1,1
"566",566,24875016002,68,674,24875,16,2,2,2,2,200,3,1,1
"567",567,24875016003,68,674,24875,16,3,2,1,1,200,4,1,0
"568",568,24875016004,68,674,24875,16,4,2,2,4,300,3,0,0
"569",569,24875016005,68,674,24875,16,5,2,1,1,150,4,1,0
"570",570,24875016006,68,674,24875,16,6,2,1,3,150,4,1,0
"571",571,24875016007,68,674,24875,16,7,2,1,3,350,2,1,1
"572",572,24875016008,68,674,24875,16,8,2,1,4,300,2,0,0
"573",573,24875016009,68,674,24875,16,9,2,1,2,250,2,1,1
"574",574,24875016010,68,674,24875,16,10,2,1,3,200,2,1,1
"575",575,24875016011,68,674,24875,16,11,2,2,3,250,3,1,1
"576",576,24875016012,68,674,24875,16,12,2,1,3,300,4,1,0
"577",577,24875016014,68,674,24875,16,14,2,2,3,300,2,1,1
"578",578,25027021001,68,679,25027,21,1,2,1,1,50,4,1,0
"579",579,25027021002,68,679,25027,21,2,2,1,1,30,2,1,1
"580",580,25027021003,68,679,25027,21,3,2,1,2,50,4,1,0
"581",581,25027021004,68,679,25027,21,4,2,1,2,40,2,1,1
"582",582,25027021005,68,679,25027,21,5,2,1,3,40,4,1,0
"583",583,25027021006,68,679,25027,21,6,2,1,1,50,3,1,1
"584",584,25027021007,68,679,25027,21,7,2,1,3,45,4,1,0
"585",585,25027021008,68,679,25027,21,8,2,1,1,50,4,1,0
"586",586,25027021009,68,679,25027,21,9,2,1,3,50,4,1,0
"587",587,25027021011,68,679,25027,21,11,2,1,3,50,4,1,0
"588",588,25027021012,68,679,25027,21,12,2,1,3,50,3,1,1
"589",589,25027021013,68,679,25027,21,13,2,1,3,50,4,1,0
"590",590,25027021014,68,679,25027,21,14,2,1,2,40,3,1,1
"591",591,25027021015,68,679,25027,21,15,2,1,3,50,4,1,0
"592",592,25033018001,68,679,25033,18,1,2,1,1,45,4,1,0
"593",593,25033018002,68,679,25033,18,2,2,1,1,25,4,1,0
"594",594,25033018003,68,679,25033,18,3,2,1,1,30,4,1,0
"595",595,25033018004,68,679,25033,18,4,2,1,1,20,4,1,0
"596",596,25033018005,68,679,25033,18,5,2,1,1,40,4,1,0
"597",597,25033018007,68,679,25033,18,7,2,1,1,30,4,1,0
"598",598,25033018008,68,679,25033,18,8,2,1,1,30,4,1,0
"599",599,25033018009,68,679,25033,18,9,2,1,1,30,4,1,0
"600",600,25033018011,68,679,25033,18,11,2,1,1,30,4,1,0
"601",601,25033018012,68,679,25033,18,12,2,1,1,40,4,1,0
"602",602,25033018013,68,679,25033,18,13,2,1,1,40,4,1,0
"603",603,25054040002,68,680,25054,40,2,2,1,1,20,2,1,1
"604",604,25054040005,68,680,25054,40,5,2,1,1,25,2,1,1
"605",605,25054040008,68,680,25054,40,8,2,1,1,100,4,1,0
"606",606,25159011009,68,683,25159,11,9,2,1,5,2000,4,0,0
"607",607,3751003009,14,119,3751,3,9,1,5,0,NA,NA,NA,NA
"608",608,23326019001,62,608,23326,19,1,1,1,68,9,2,0,0
"609",609,23326019003,62,608,23326,19,3,1,2,78,14,2,0,0
"610",610,23326019004,62,608,23326,19,4,1,2,70,15,2,0,0
"611",611,23326019005,62,608,23326,19,5,1,1,75,12,3,0,0
"612",612,23326019007,62,608,23326,19,7,1,2,80,12,2,0,0
"613",613,23326019008,62,608,23326,19,8,1,1,75,10,2,0,0
"614",614,23326019009,62,608,23326,19,9,1,2,76,12,2,0,0
"615",615,23326019010,62,608,23326,19,10,1,2,75,12,2,0,0
"616",616,23326019011,62,608,23326,19,11,1,3,60,8,2,0,0
"617",617,23326019012,62,608,23326,19,12,1,1,70,10,2,0,0
"618",618,23326019014,62,608,23326,19,14,1,1,65,10,2,0,0
"619",619,23326019015,62,608,23326,19,15,1,1,75,12,2,0,0
"620",620,23392003001,62,611,23392,3,1,1,3,3,6,2,1,1
"621",621,23392003003,62,611,23392,3,3,1,2,3,200,4,1,0
"622",622,23392003004,62,611,23392,3,4,1,2,4,200,4,0,0
"623",623,23392003005,62,611,23392,3,5,1,2,3,20,2,1,1
"624",624,23392003008,62,611,23392,3,8,1,2,2,20,3,1,1
"625",625,23392003009,62,611,23392,3,9,1,1,3,200,4,1,0
"626",626,23392003010,62,611,23392,3,10,1,2,3,250,4,1,0
"627",627,23392003014,62,611,23392,3,14,1,1,3,3,4,1,0
"628",628,23392003015,62,611,23392,3,15,1,2,3,5,4,1,0
"629",629,23419007001,62,617,23419,7,1,1,1,2,150,4,1,0
"630",630,23419007002,62,617,23419,7,2,1,1,2,120,4,1,0
"631",631,23419007004,62,617,23419,7,4,1,1,2,120,4,1,0
"632",632,23419007005,62,617,23419,7,5,1,1,2,100,4,1,0
"633",633,23419007006,62,617,23419,7,6,1,1,2,120,4,1,0
"634",634,23419007007,62,617,23419,7,7,1,1,2,100,4,1,0
"635",635,23419007008,62,617,23419,7,8,1,1,2,120,4,1,0
"636",636,23419007009,62,617,23419,7,9,1,1,2,150,3,1,1
"637",637,23419007010,62,617,23419,7,10,1,1,2,100,4,1,0
"638",638,23419007012,62,617,23419,7,12,1,1,2,120,4,1,0
"639",639,23545002001,62,616,23545,2,1,1,1,4,400,2,0,0
"640",640,23545002004,62,616,23545,2,4,1,1,5,400,2,0,0
"641",641,23545002013,62,616,23545,2,13,1,3,4,400,3,0,0
"642",642,23563029006,64,622,23563,29,6,1,1,3,100,4,1,0
"643",643,23563029012,64,622,23563,29,12,1,2,3,120,3,1,1
"644",644,23590029002,64,622,23590,29,2,1,1,2,5,2,1,1
"645",645,23590029004,64,622,23590,29,4,1,1,2,4,2,1,1
