result,sowing_day,sowing_month,sowing_year,M4B11_C3B,gre_day,gre_month,gre_year
Kết quả: 22/5/2022,22,4,2022,1,22,5,2022
Kết quả: 24/5/2022,24,4,2022,1,24,5,2022
Kết quả: 15/5/2022,15,4,2022,1,15,5,2022
Kết quả: 10/5/2022,10,4,2022,1,10,5,2022
Kết quả: 11/5/2022,11,4,2022,1,11,5,2022
Kết quả: 5/5/2022,5,4,2022,1,5,5,2022
Kết quả: 18/5/2022,18,4,2022,1,18,5,2022
Kết quả: 25/5/2022,25,4,2022,1,25,5,2022
Kết quả: 23/5/2022,23,4,2022,1,23,5,2022
Kết quả: 20/5/2022,20,4,2022,1,20,5,2022
Kết quả: 19/5/2022,19,4,2022,1,19,5,2022
Kết quả: 16/5/2022,16,4,2022,1,16,5,2022
Kết quả: 17/5/2022,17,4,2022,1,17,5,2022
Kết quả: 14/5/2022,14,4,2022,1,14,5,2022
Kết quả: 13/5/2022,13,4,2022,1,13,5,2022
Kết quả: 12/5/2022,12,4,2022,1,12,5,2022
Kết quả: 8/5/2022,8,4,2022,1,8,5,2022
Kết quả: 4/5/2022,4,4,2022,1,4,5,2022
Kết quả: 3/5/2022,3,4,2022,1,3,5,2022
Kết quả: 1/5/2022,1,4,2022,1,1,5,2022
Kết quả: 27/3/2022,25,2,2022,1,27,3,2022
Kết quả: 2/6/2022,4,5,2022,1,2,6,2022
Kết quả: 4/6/2022,6,5,2022,1,4,6,2022
Kết quả: 11/3/2022,9,2,2022,1,11,3,2022
Kết quả: 8/6/2022,10,5,2022,1,8,6,2022
Kết quả: 13/3/2022,11,2,2022,1,13,3,2022
Kết quả: 13/6/2022,15,5,2022,1,13,6,2022
Kết quả: 7/3/2022,5,2,2022,1,7,3,2022
Kết quả: 23/6/2022,25,5,2022,1,23,6,2022
Kết quả: 10/3/2022,8,2,2022,1,10,3,2022
Kết quả: 3/6/2022,5,5,2022,1,3,6,2022
Kết quả: 25/6/2022,27,5,2022,1,25,6,2022
Kết quả: 17/3/2022,15,2,2022,1,17,3,2022
Kết quả: 26/6/2022,28,5,2022,1,26,6,2022
Kết quả: 14/6/2022,16,5,2022,1,14,6,2022
Kết quả: 6/6/2022,8,5,2022,1,6,6,2022
Kết quả: 6/2/2022,6,1,2022,1,6,2,2022
Kết quả: 8/2/2022,8,1,2022,1,8,2,2022
Kết quả: 18/6/2022,20,5,2022,1,18,6,2022
Kết quả: 10/2/2022,10,1,2022,1,10,2,2022
Kết quả: 20/6/2022,22,5,2022,1,20,6,2022
Kết quả: 7/7/2022,9,6,2022,1,7,7,2022
Kết quả: 27/1/2022,25,12,2021,1,27,1,2022
Kết quả: 16/6/2022,18,5,2022,1,16,6,2022
Kết quả: 7/2/2022,7,1,2022,1,7,2,2022
Kết quả: 5/6/2022,7,5,2022,1,5,6,2022
Kết quả: 12/2/2022,12,1,2022,1,12,2,2022
Kết quả: 19/6/2022,21,5,2022,1,19,6,2022
Kết quả: 15/6/2022,17,5,2022,1,15,6,2022
Kết quả: 12/6/2022,14,5,2022,1,12,6,2022
Kết quả: 11/6/2022,13,5,2022,1,11,6,2022
Kết quả: 8/7/2022,10,6,2022,1,8,7,2022
Kết quả: 1/3/2023,10,2,2023,1,1,3,2023
Kết quả: 3/3/2023,12,2,2023,1,3,3,2023
Kết quả: 5/3/2023,14,2,2023,1,5,3,2023
Kết quả: 1/1/2023,10,12,2022,1,1,1,2023
Kết quả: 4/1/2023,13,12,2022,1,4,1,2023
Kết quả: 10/6/2022,12,5,2022,1,10,6,2022
Kết quả: 6/1/2023,15,12,2022,1,6,1,2023
Kết quả: 9/8/2022,12,7,2022,1,9,8,2022
Kết quả: 8/1/2023,17,12,2022,1,8,1,2023
Kết quả: 6/3/2022,4,2,2022,1,6,3,2022
Kết quả: 12/3/2022,10,2,2022,1,12,3,2022
Kết quả: 25/1/2022,23,12,2021,1,25,1,2022
Kết quả: 30/12/2022,8,12,2022,1,30,12,2022
Kết quả: 27/12/2022,5,12,2022,1,27,12,2022
Kết quả: 27/6/2022,29,5,2022,1,27,6,2022
Kết quả: 13/7/2022,15,6,2022,1,13,7,2022
Kết quả: 24/6/2022,26,5,2022,1,24,6,2022
Kết quả: 16/2/2022,16,1,2022,1,16,2,2022
Kết quả: 26/7/2022,28,6,2022,1,26,7,2022
Kết quả: 2/2/2022,2,1,2022,1,2,2,2022
Kết quả: 17/1/2023,26,12,2022,1,17,1,2023
Kết quả: 26/1/2022,24,12,2021,1,26,1,2022
Kết quả: 15/1/2022,13,12,2021,1,15,1,2022
Kết quả: 14/1/2022,12,12,2021,1,14,1,2022
Kết quả: 11/1/2023,20,12,2022,1,11,1,2023
Kết quả: 17/1/2022,15,12,2021,1,17,1,2022
Kết quả: 15/3/2022,13,2,2022,1,15,3,2022
Kết quả: 4/8/2022,7,7,2022,1,4,8,2022
Kết quả: 25/3/2022,23,2,2022,1,25,3,2022
Kết quả: 22/7/2022,24,6,2022,1,22,7,2022
Kết quả: 24/7/2022,26,6,2022,1,24,7,2022
Kết quả: 20/7/2022,22,6,2022,1,20,7,2022
Kết quả: 18/7/2022,20,6,2022,1,18,7,2022
Kết quả: 26/3/2022,24,2,2022,1,26,3,2022
Kết quả: 21/7/2022,23,6,2022,1,21,7,2022
Kết quả: 25/7/2022,27,6,2022,1,25,7,2022
Kết quả: 11/7/2022,13,6,2022,1,11,7,2022
Kết quả: 14/3/2022,12,2,2022,1,14,3,2022
Kết quả: 24/3/2022,22,2,2022,1,24,3,2022
Kết quả: 16/7/2022,18,6,2022,1,16,7,2022
Kết quả: 22/3/2022,20,2,2022,1,22,3,2022
Kết quả: 8/3/2022,6,2,2022,1,8,3,2022
Kết quả: 3/7/2022,5,6,2022,1,3,7,2022
Kết quả: 9/3/2022,7,2,2022,1,9,3,2022
Kết quả: 5/7/2022,7,6,2022,1,5,7,2022
Kết quả: 5/3/2022,3,2,2022,1,5,3,2022
Kết quả: 4/7/2022,6,6,2022,1,4,7,2022
Kết quả: 18/3/2022,16,2,2022,1,18,3,2022
Kết quả: 19/3/2022,17,2,2022,1,19,3,2022
Kết quả: 26/5/2022,26,4,2022,1,26,5,2022
Kết quả: 28/2/2022,28,1,2022,1,28,2,2022
Kết quả: 6/5/2022,6,4,2022,1,6,5,2022
Kết quả: 27/2/2022,27,1,2022,1,27,2,2022
Kết quả: 7/5/2022,7,4,2022,1,7,5,2022
Kết quả: 26/2/2022,26,1,2022,1,26,2,2022
Kết quả: 31/5/2022,2,5,2022,1,31,5,2022
Kết quả: 30/6/2022,2,6,2022,1,30,6,2022
Kết quả: 27/5/2022,27,4,2022,1,27,5,2022
Kết quả: 30/3/2022,28,2,2022,1,30,3,2022
Kết quả: 28/6/2022,30,5,2022,1,28,6,2022
Kết quả: 4/3/2022,2,2,2022,1,4,3,2022
Kết quả: 2/7/2022,4,6,2022,1,2,7,2022
Kết quả: 29/6/2022,1,6,2022,1,29,6,2022
Kết quả: 6/7/2022,8,6,2022,1,6,7,2022
Kết quả: 1/7/2022,3,6,2022,1,1,7,2022
Kết quả: 18/1/2022,16,12,2021,1,18,1,2022
Kết quả: 20/1/2022,18,12,2021,1,20,1,2022
Kết quả: 15/2/2022,15,1,2022,1,15,2,2022
Kết quả: 14/2/2022,14,1,2022,1,14,2,2022
Kết quả: 12/7/2022,14,6,2022,1,12,7,2022
Kết quả: 20/2/2022,20,1,2022,1,20,2,2022
Kết quả: 9/2/2022,9,1,2022,1,9,2,2022
Kết quả: 13/2/2022,13,1,2022,1,13,2,2022
Kết quả: 5/2/2022,5,1,2022,1,5,2,2022
Kết quả: 15/1/2023,24,12,2022,1,15,1,2023
Kết quả: 3/2/2022,3,1,2022,1,3,2,2022
Kết quả: 4/2/2022,4,1,2022,1,4,2,2022
Kết quả: 18/8/2022,21,7,2022,1,18,8,2022
Kết quả: 16/8/2022,19,7,2022,1,16,8,2022
Kết quả: 18/2/2022,18,1,2022,1,18,2,2022
Kết quả: 22/2/2022,22,1,2022,1,22,2,2022
Kết quả: 10/7/2022,12,6,2022,1,10,7,2022
Kết quả: 9/6/2022,11,5,2022,1,9,6,2022
Kết quả: 9/7/2022,11,6,2022,1,9,7,2022
Kết quả: 15/7/2022,17,6,2022,1,15,7,2022
Kết quả: 17/2/2022,17,1,2022,1,17,2,2022
Kết quả: 25/2/2022,25,1,2022,1,25,2,2022
Kết quả: 26/12/2021,23,11,2021,1,26,12,2021
Kết quả: 22/1/2022,20,12,2021,1,22,1,2022
Kết quả: 31/1/2022,29,12,2021,1,31,1,2022
Kết quả: 14/7/2022,16,6,2022,1,14,7,2022
Kết quả: 21/1/2022,19,12,2021,1,21,1,2022
Kết quả: 13/1/2023,22,12,2022,1,13,1,2023
Kết quả: 18/1/2023,27,12,2022,1,18,1,2023
Kết quả: 16/1/2023,25,12,2022,1,16,1,2023
Kết quả: 10/1/2023,19,12,2022,1,10,1,2023
Kết quả: 7/1/2023,16,12,2022,1,7,1,2023
Kết quả: 21/5/2022,21,4,2022,1,21,5,2022
Kết quả: 3/1/2023,12,12,2022,1,3,1,2023
Kết quả: 15/3/2023,24,2,2023,1,15,3,2023
Kết quả: 13/3/2023,22,2,2023,1,13,3,2023
Kết quả: 14/1/2023,23,12,2022,1,14,1,2023
Kết quả: 10/1/2022,8,12,2021,1,10,1,2022
Kết quả: 12/1/2022,10,12,2021,1,12,1,2022
Kết quả: 11/1/2022,9,12,2021,1,11,1,2022
Kết quả: 6/1/2022,4,12,2021,1,6,1,2022
Kết quả: 8/1/2022,6,12,2021,1,8,1,2022
Kết quả: 7/1/2022,5,12,2021,1,7,1,2022
Kết quả: 24/2/2021,13,1,2021,1,24,2,2021
Kết quả: 9/5/2022,9,4,2022,1,9,5,2022
Kết quả: 28/4/2022,28,3,2022,1,28,4,2022
Kết quả: 30/5/2022,1,5,2022,1,30,5,2022
Kết quả: 29/12/2022,7,12,2022,1,29,12,2022
Kết quả: 28/12/2022,6,12,2022,1,28,12,2022
Kết quả: 8/12/2022,15,11,2022,1,8,12,2022
Kết quả: 17/4/2022,17,3,2022,1,17,4,2022
Kết quả: 6/12/2022,13,11,2022,1,6,12,2022
Kết quả: 9/12/2022,16,11,2022,1,9,12,2022
Kết quả: 26/12/2022,4,12,2022,1,26,12,2022
Kết quả: 3/3/2022,1,2,2022,1,3,3,2022
Kết quả: 1/6/2022,3,5,2022,1,1,6,2022
Kết quả: 19/12/2022,26,11,2022,1,19,12,2022
Kết quả: 18/12/2022,25,11,2022,1,18,12,2022
Kết quả: 25/12/2022,3,12,2022,1,25,12,2022
Kết quả: 29/11/2022,6,11,2022,1,29,11,2022
Kết quả: 30/11/2022,7,11,2022,1,30,11,2022
Kết quả: 20/12/2021,17,11,2021,1,20,12,2021
Kết quả: 21/6/2022,23,5,2022,1,21,6,2022
Kết quả: 15/12/2021,12,11,2021,1,15,12,2021
Kết quả: 23/12/2021,20,11,2021,1,23,12,2021
Kết quả: 18/12/2021,15,11,2021,1,18,12,2021
Kết quả: 5/6/2021,25,4,2021,1,5,6,2021
Kết quả: 19/12/2021,16,11,2021,1,19,12,2021
Kết quả: 16/12/2021,13,11,2021,1,16,12,2021
Kết quả: 17/12/2021,14,11,2021,1,17,12,2021
Kết quả: 3/12/2022,10,11,2022,1,3,12,2022
Kết quả: 1/1/2022,29,11,2021,1,1,1,2022
Kết quả: 25/12/2021,22,11,2021,1,25,12,2021
Kết quả: 28/12/2021,25,11,2021,1,28,12,2021
Kết quả: 12/12/2021,9,11,2021,1,12,12,2021
Kết quả: 27/12/2021,24,11,2021,1,27,12,2021
Kết quả: 13/12/2021,10,11,2021,1,13,12,2021
Kết quả: 10/12/2021,7,11,2021,1,10,12,2021
Kết quả: 9/1/2022,7,12,2021,1,9,1,2022
Kết quả: 24/1/2022,22,12,2021,1,24,1,2022
Kết quả: 28/5/2022,28,4,2022,1,28,5,2022
Kết quả: 28/11/2021,24,10,2021,1,28,11,2021
Kết quả: 8/11/2022,15,10,2022,1,8,11,2022
Kết quả: 18/11/2022,25,10,2022,1,18,11,2022
Kết quả: 28/10/2022,4,10,2022,1,28,10,2022
Kết quả: 3/11/2022,10,10,2022,1,3,11,2022
Kết quả: 24/12/2021,21,11,2021,1,24,12,2021
Kết quả: 22/12/2021,19,11,2021,1,22,12,2021
Kết quả: 30/12/2021,27,11,2021,1,30,12,2021
Kết quả: 7/12/2021,4,11,2021,1,7,12,2021
Kết quả: 5/12/2021,31,10,2021,1,5,12,2021
Kết quả: 16/11/2022,23,10,2022,1,16,11,2022
Kết quả: 2/4/2022,2,3,2022,1,2,4,2022
Kết quả: 4/4/2022,4,3,2022,1,4,4,2022
Kết quả: 30/11/2021,26,10,2021,1,30,11,2021
Kết quả: 20/4/2022,20,3,2022,1,20,4,2022
Kết quả: 29/11/2021,25,10,2021,1,29,11,2021
Kết quả: 16/4/2022,16,3,2022,1,16,4,2022
Kết quả: 23/11/2021,19,10,2021,1,23,11,2021
Kết quả: 5/4/2022,5,3,2022,1,5,4,2022
Kết quả: 27/11/2022,4,11,2022,1,27,11,2022
Kết quả: 3/12/2021,29,10,2021,1,3,12,2021
Kết quả: 22/4/2022,22,3,2022,1,22,4,2022
Kết quả: 2/12/2021,28,10,2021,1,2,12,2021
Kết quả: 10/4/2022,10,3,2022,1,10,4,2022
Kết quả: 19/4/2022,19,3,2022,1,19,4,2022
Kết quả: 1/12/2021,27,10,2021,1,1,12,2021
Kết quả: 2/5/2022,2,4,2022,1,2,5,2022
Kết quả: 24/11/2022,1,11,2022,1,24,11,2022
Kết quả: 28/11/2022,5,11,2022,1,28,11,2022
Kết quả: 5/11/2022,12,10,2022,1,5,11,2022
Kết quả: 30/4/2022,30,3,2022,1,30,4,2022
Kết quả: 29/10/2022,5,10,2022,1,29,10,2022
Kết quả: 20/11/2021,16,10,2021,1,20,11,2021
Kết quả: 27/11/2021,23,10,2021,1,27,11,2021
Kết quả: 9/12/2021,6,11,2021,1,9,12,2021
Kết quả: 10/11/2021,6,10,2021,1,10,11,2021
Kết quả: 26/11/2021,22,10,2021,1,26,11,2021
Kết quả: 3/4/2022,3,3,2022,1,3,4,2022
Kết quả: 8/12/2021,5,11,2021,1,8,12,2021
Kết quả: 6/12/2021,3,11,2021,1,6,12,2021
Kết quả: 29/12/2021,26,11,2021,1,29,12,2021
Kết quả: 11/12/2022,18,11,2022,1,11,12,2022
Kết quả: 24/6/2021,15,5,2021,1,24,6,2021
Kết quả: 8/10/2022,13,9,2022,1,8,10,2022
Kết quả: 20/10/2021,15,9,2021,1,20,10,2021
Kết quả: 19/11/2021,15,10,2021,1,19,11,2021
Kết quả: 5/11/2021,1,10,2021,1,5,11,2021
Kết quả: 1/9/2022,6,8,2022,1,1,9,2022
Kết quả: 3/9/2022,8,8,2022,1,3,9,2022
Kết quả: 28/8/2022,2,8,2022,1,28,8,2022
Kết quả: 31/8/2022,5,8,2022,1,31,8,2022
Kết quả: 29/8/2022,3,8,2022,1,29,8,2022
Kết quả: 17/9/2022,22,8,2022,1,17,9,2022
Kết quả: 11/11/2022,18,10,2022,1,11,11,2022
Kết quả: 15/10/2022,20,9,2022,1,15,10,2022
Kết quả: 7/10/2022,12,9,2022,1,7,10,2022
Kết quả: 20/9/2022,25,8,2022,1,20,9,2022
Kết quả: 10/11/2022,17,10,2022,1,10,11,2022
Kết quả: 23/8/2022,26,7,2022,1,23,8,2022
Kết quả: 2/12/2022,9,11,2022,1,2,12,2022
Kết quả: 7/6/2022,9,5,2022,1,7,6,2022
Kết quả: 21/9/2022,26,8,2022,1,21,9,2022
Kết quả: 7/11/2022,14,10,2022,1,7,11,2022
Kết quả: 24/12/2022,2,12,2022,1,24,12,2022
Kết quả: 27/9/2022,2,9,2022,1,27,9,2022
Kết quả: 29/5/2022,29,4,2022,1,29,5,2022
Kết quả: 1/12/2022,8,11,2022,1,1,12,2022
Kết quả: 23/7/2022,25,6,2022,1,23,7,2022
Kết quả: 13/12/2022,20,11,2022,1,13,12,2022
Kết quả: 13/8/2022,16,7,2022,1,13,8,2022
Kết quả: 10/10/2022,15,9,2022,1,10,10,2022
Kết quả: 4/10/2022,9,9,2022,1,4,10,2022
Kết quả: 12/8/2022,15,7,2022,1,12,8,2022
Kết quả: 6/8/2022,9,7,2022,1,6,8,2022
Kết quả: 26/4/2021,15,3,2021,1,26,4,2021
Kết quả: 11/10/2022,16,9,2022,1,11,10,2022
Kết quả: 31/10/2022,7,10,2022,1,31,10,2022
Kết quả: 1/11/2022,8,10,2022,1,1,11,2022
Kết quả: 30/10/2022,6,10,2022,1,30,10,2022
Kết quả: 25/10/2022,1,10,2022,1,25,10,2022
Kết quả: 1/4/2022,1,3,2022,1,1,4,2022
Kết quả: 13/11/2022,20,10,2022,1,13,11,2022
Kết quả: 17/11/2022,24,10,2022,1,17,11,2022
Kết quả: 2/8/2022,5,7,2022,1,2,8,2022
Kết quả: 4/11/2022,11,10,2022,1,4,11,2022
Kết quả: 14/9/2022,19,8,2022,1,14,9,2022
Kết quả: 11/4/2022,11,3,2022,1,11,4,2022
Kết quả: 7/8/2022,10,7,2022,1,7,8,2022
Kết quả: 25/11/2022,2,11,2022,1,25,11,2022
Kết quả: 5/12/2022,12,11,2022,1,5,12,2022
Kết quả: 23/4/2022,23,3,2022,1,23,4,2022
Kết quả: 15/4/2022,15,3,2022,1,15,4,2022
Kết quả: 26/11/2022,3,11,2022,1,26,11,2022
Kết quả: 2/11/2022,9,10,2022,1,2,11,2022
Kết quả: 10/12/2022,17,11,2022,1,10,12,2022
Kết quả: 23/11/2022,30,10,2022,1,23,11,2022
Kết quả: 29/7/2022,1,7,2022,1,29,7,2022
Kết quả: 4/12/2021,1,11,2021,1,4,12,2021
Kết quả: 30/8/2022,4,8,2022,1,30,8,2022
Kết quả: 27/8/2022,1,8,2022,1,27,8,2022
Kết quả: 12/11/2022,19,10,2022,1,12,11,2022
Kết quả: 9/4/2022,9,3,2022,1,9,4,2022
Kết quả: 10/9/2022,15,8,2022,1,10,9,2022
Kết quả: 1/4/2022,30,2,2022,1,1,4,2022
Kết quả: 16/3/2022,14,2,2022,1,16,3,2022
Kết quả: 15/11/2021,11,10,2021,1,15,11,2021
Kết quả: 5/12/2021,2,11,2021,1,5,12,2021
Kết quả: 13/4/2022,13,3,2022,1,13,4,2022
Kết quả: 11/12/2021,8,11,2021,1,11,12,2021
