result,sowing_day,sowing_month,sowing_year,M4B11_C3B,gre_day,gre_month,gre_year
Kết quả: 25/9/2022,30,8,2022,1,25,9,2022
Kết quả: 30/9/2022,5,9,2022,1,30,9,2022
Kết quả: 30/10/2021,25,9,2021,1,30,10,2021
Kết quả: 20/10/2022,25,9,2022,1,20,10,2022
Kết quả: 11/11/2021,7,10,2021,1,11,11,2021
Kết quả: 8/11/2021,4,10,2021,1,8,11,2021
Kết quả: 23/9/2022,28,8,2022,1,23,9,2022
Kết quả: 15/9/2022,20,8,2022,1,15,9,2022
Kết quả: 13/9/2022,18,8,2022,1,13,9,2022
Kết quả: 14/11/2021,10,10,2021,1,14,11,2021
Kết quả: 13/11/2021,9,10,2021,1,13,11,2021
Kết quả: 28/3/2022,26,2,2022,1,28,3,2022
Kết quả: 12/11/2021,8,10,2021,1,12,11,2021
Kết quả: 8/8/2022,11,7,2022,1,8,8,2022
Kết quả: 18/4/2022,18,3,2022,1,18,4,2022
Kết quả: 5/1/2022,3,12,2021,1,5,1,2022
Kết quả: 29/4/2021,18,3,2021,1,29,4,2021
Kết quả: 1/5/2021,20,3,2021,1,1,5,2021
Kết quả: 12/4/2022,12,3,2022,1,12,4,2022
Kết quả: 27/10/2022,3,10,2022,1,27,10,2022
Kết quả: 8/9/2022,13,8,2022,1,8,9,2022
Kết quả: 13/10/2022,18,9,2022,1,13,10,2022
Kết quả: 5/9/2022,10,8,2022,1,5,9,2022
Kết quả: 7/9/2022,12,8,2022,1,7,9,2022
Kết quả: 5/10/2022,10,9,2022,1,5,10,2022
Kết quả: 4/9/2022,9,8,2022,1,4,9,2022
Kết quả: 22/6/2022,24,5,2022,1,22,6,2022
Kết quả: 1/10/2022,6,9,2022,1,1,10,2022
Kết quả: 25/4/2022,25,3,2022,1,25,4,2022
Kết quả: 8/4/2022,8,3,2022,1,8,4,2022
Kết quả: 24/4/2022,24,3,2022,1,24,4,2022
Kết quả: 6/4/2022,6,3,2022,1,6,4,2022
Kết quả: 7/4/2022,7,3,2022,1,7,4,2022
Kết quả: 29/4/2022,29,3,2022,1,29,4,2022
Kết quả: 26/4/2022,26,3,2022,1,26,4,2022
Kết quả: 1/5/2022,31,3,2022,1,1,5,2022
Kết quả: 23/3/2022,21,2,2022,1,23,3,2022
Kết quả: 1/2/2023,11,1,2023,1,1,2,2023
Kết quả: 11/2/2022,11,1,2022,1,11,2,2022
Kết quả: 23/2/2022,23,1,2022,1,23,2,2022
Kết quả: 16/1/2022,14,12,2021,1,16,1,2022
Kết quả: 4/7/2021,25,5,2021,1,4,7,2021
Kết quả: 21/2/2023,2,2,2023,1,21,2,2023
Kết quả: 22/2/2023,3,2,2023,1,22,2,2023
Kết quả: 5/1/2023,14,12,2022,1,5,1,2023
Kết quả: 26/1/2023,5,1,2023,1,26,1,2023
Kết quả: 28/1/2023,7,1,2023,1,28,1,2023
Kết quả: 23/2/2023,4,2,2023,1,23,2,2023
Kết quả: 24/2/2023,5,2,2023,1,24,2,2023
Kết quả: 27/1/2023,6,1,2023,1,27,1,2023
Kết quả: 28/1/2022,26,12,2021,1,28,1,2022
Kết quả: 27/6/2023,10,5,2023,1,27,6,2023
Kết quả: 9/3/2023,18,2,2023,1,9,3,2023
Kết quả: 6/3/2023,15,2,2023,1,6,3,2023
Kết quả: 7/3/2023,16,2,2023,1,7,3,2023
Kết quả: 11/3/2023,20,2,2023,1,11,3,2023
Kết quả: 19/7/2022,21,6,2022,1,19,7,2022
Kết quả: 18/2/2023,28,1,2023,1,18,2,2023
Kết quả: 31/7/2022,3,7,2022,1,31,7,2022
Kết quả: 30/7/2022,2,7,2022,1,30,7,2022
Kết quả: 13/2/2023,23,1,2023,1,13,2,2023
Kết quả: 21/6/2023,4,5,2023,1,21,6,2023
Kết quả: 16/2/2023,26,1,2023,1,16,2,2023
Kết quả: 22/6/2023,5,5,2023,1,22,6,2023
Kết quả: 18/6/2023,1,5,2023,1,18,6,2023
Kết quả: 27/2/2023,8,2,2023,1,27,2,2023
Kết quả: 28/2/2023,9,2,2023,1,28,2,2023
Kết quả: 28/6/2023,11,5,2023,1,28,6,2023
Kết quả: 26/2/2023,7,2,2023,1,26,2,2023
Kết quả: 24/6/2023,7,5,2023,1,24,6,2023
Kết quả: 16/3/2023,25,2,2023,1,16,3,2023
Kết quả: 26/6/2023,9,5,2023,1,26,6,2023
Kết quả: 25/6/2023,8,5,2023,1,25,6,2023
Kết quả: 20/6/2023,3,5,2023,1,20,6,2023
Kết quả: 17/6/2023,30,4,2023,1,17,6,2023
Kết quả: 31/1/2023,10,1,2023,1,31,1,2023
Kết quả: 5/8/2022,8,7,2022,1,5,8,2022
Kết quả: 19/1/2022,17,12,2021,1,19,1,2022
Kết quả: 17/8/2022,20,7,2022,1,17,8,2022
Kết quả: 23/1/2022,21,12,2021,1,23,1,2022
Kết quả: 9/1/2023,18,12,2022,1,9,1,2023
Kết quả: 31/12/2022,9,12,2022,1,31,12,2022
Kết quả: 23/12/2022,1,12,2022,1,23,12,2022
Kết quả: 30/5/2022,30,4,2022,1,30,5,2022
Kết quả: 20/12/2022,27,11,2022,1,20,12,2022
Kết quả: 2/1/2023,11,12,2022,1,2,1,2023
Kết quả: 15/12/2022,22,11,2022,1,15,12,2022
Kết quả: 12/12/2022,19,11,2022,1,12,12,2022
Kết quả: 12/6/2023,25,4,2023,1,12,6,2023
Kết quả: 17/6/2022,19,5,2022,1,17,6,2022
Kết quả: 19/1/2023,28,12,2022,1,19,1,2023
Kết quả: 22/8/2022,25,7,2022,1,22,8,2022
Kết quả: 21/12/2022,28,11,2022,1,21,12,2022
Kết quả: 22/11/2022,29,10,2022,1,22,11,2022
Kết quả: 21/11/2022,28,10,2022,1,21,11,2022
Kết quả: 14/4/2022,14,3,2022,1,14,4,2022
Kết quả: 15/11/2022,22,10,2022,1,15,11,2022
Kết quả: 25/5/2023,7,4,2023,1,25,5,2023
Kết quả: 29/9/2022,4,9,2022,1,29,9,2022
Kết quả: 15/8/2022,18,7,2022,1,15,8,2022
Kết quả: 4/2/2023,14,1,2023,1,4,2,2023
Kết quả: 9/11/2022,16,10,2022,1,9,11,2022
Kết quả: 6/11/2022,13,10,2022,1,6,11,2022
Kết quả: 15/2/2023,25,1,2023,1,15,2,2023
Kết quả: 21/3/2022,19,2,2022,1,21,3,2022
Kết quả: 29/3/2022,27,2,2022,1,29,3,2022
Kết quả: 26/10/2022,2,10,2022,1,26,10,2022
Kết quả: 4/12/2022,11,11,2022,1,4,12,2022
Kết quả: 6/10/2022,11,9,2022,1,6,10,2022
Kết quả: 27/4/2022,27,3,2022,1,27,4,2022
Kết quả: 26/9/2022,1,9,2022,1,26,9,2022
Kết quả: 10/8/2022,13,7,2022,1,10,8,2022
Kết quả: 24/2/2022,24,1,2022,1,24,2,2022
Kết quả: 25/6/2021,16,5,2021,1,25,6,2021
Kết quả: 10/2/2023,20,1,2023,1,10,2,2023
Kết quả: 14/12/2022,21,11,2022,1,14,12,2022
Kết quả: 14/8/2022,17,7,2022,1,14,8,2022
Kết quả: 24/11/2021,20,10,2021,1,24,11,2021
Kết quả: 21/3/2021,9,2,2021,1,21,3,2021
Kết quả: 21/4/2022,21,3,2022,1,21,4,2022
Kết quả: 9/6/2023,22,4,2023,1,9,6,2023
Kết quả: 7/6/2023,20,4,2023,1,7,6,2023
Kết quả: 3/6/2023,16,4,2023,1,3,6,2023
Kết quả: 13/5/2023,24,3,2023,1,13,5,2023
Kết quả: 21/5/2023,3,4,2023,1,21,5,2023
Kết quả: 6/2/2023,16,1,2023,1,6,2,2023
Kết quả: 7/7/2023,20,5,2023,1,7,7,2023
Kết quả: 12/2/2023,22,1,2023,1,12,2,2023
Kết quả: 29/1/2023,8,1,2023,1,29,1,2023
Kết quả: 1/7/2023,14,5,2023,1,1,7,2023
Kết quả: 9/7/2023,22,5,2023,1,9,7,2023
Kết quả: 15/7/2023,28,5,2023,1,15,7,2023
Kết quả: 30/6/2023,13,5,2023,1,30,6,2023
Kết quả: 5/2/2023,15,1,2023,1,5,2,2023
Kết quả: 20/4/2023,1,3,2023,1,20,4,2023
Kết quả: 12/1/2023,21,12,2022,1,12,1,2023
Kết quả: 19/6/2023,2,5,2023,1,19,6,2023
Kết quả: 24/1/2023,3,1,2023,1,24,1,2023
Kết quả: 6/7/2023,19,5,2023,1,6,7,2023
Kết quả: 3/2/2023,13,1,2023,1,3,2,2023
Kết quả: 25/1/2023,4,1,2023,1,25,1,2023
Kết quả: 27/7/2023,10,6,2023,1,27,7,2023
Kết quả: 27/5/2023,9,4,2023,1,27,5,2023
Kết quả: 31/7/2023,14,6,2023,1,31,7,2023
Kết quả: 11/2/2023,21,1,2023,1,11,2,2023
Kết quả: 8/2/2023,18,1,2023,1,8,2,2023
Kết quả: 2/2/2023,12,1,2023,1,2,2,2023
Kết quả: 22/7/2023,5,6,2023,1,22,7,2023
Kết quả: 20/7/2023,3,6,2023,1,20,7,2023
Kết quả: 29/7/2023,12,6,2023,1,29,7,2023
Kết quả: 30/1/2023,9,1,2023,1,30,1,2023
Kết quả: 23/7/2023,6,6,2023,1,23,7,2023
Kết quả: 23/1/2023,2,1,2023,1,23,1,2023
Kết quả: 23/5/2023,5,4,2023,1,23,5,2023
Kết quả: 4/6/2023,17,4,2023,1,4,6,2023
Kết quả: 11/6/2023,24,4,2023,1,11,6,2023
Kết quả: 22/5/2023,4,4,2023,1,22,5,2023
Kết quả: 20/2/2023,1,2,2023,1,20,2,2023
Kết quả: 26/5/2023,8,4,2023,1,26,5,2023
Kết quả: 14/7/2023,27,5,2023,1,14,7,2023
Kết quả: 16/12/2022,23,11,2022,1,16,12,2022
Kết quả: 31/5/2023,13,4,2023,1,31,5,2023
Kết quả: 7/6/2021,27,4,2021,1,7,6,2021
Kết quả: 22/12/2022,29,11,2022,1,22,12,2022
Kết quả: 14/6/2023,27,4,2023,1,14,6,2023
Kết quả: 17/12/2022,24,11,2022,1,17,12,2022
Kết quả: 8/3/2023,17,2,2023,1,8,3,2023
Kết quả: 4/5/2023,15,3,2023,1,4,5,2023
Kết quả: 25/4/2023,6,3,2023,1,25,4,2023
Kết quả: 19/11/2022,26,10,2022,1,19,11,2022
Kết quả: 5/5/2023,16,3,2023,1,5,5,2023
Kết quả: 28/4/2023,9,3,2023,1,28,4,2023
Kết quả: 9/5/2023,20,3,2023,1,9,5,2023
Kết quả: 9/9/2022,14,8,2022,1,9,9,2022
Kết quả: 21/7/2021,12,6,2021,1,21,7,2021
Kết quả: 12/7/2021,3,6,2021,1,12,7,2021
Kết quả: 22/1/2023,1,1,2023,1,22,1,2023
Kết quả: 2/6/2023,15,4,2023,1,2,6,2023
Kết quả: 24/5/2023,6,4,2023,1,24,5,2023
Kết quả: 3/10/2022,8,9,2022,1,3,10,2022
Kết quả: 18/9/2022,23,8,2022,1,18,9,2022
Kết quả: 9/10/2022,14,9,2022,1,9,10,2022
Kết quả: 17/2/2023,27,1,2023,1,17,2,2023
Kết quả: 30/8/2023,15,7,2023,1,30,8,2023
Kết quả: 20/8/2022,23,7,2022,1,20,8,2022
Kết quả: 11/8/2023,25,6,2023,1,11,8,2023
Kết quả: 27/4/2023,8,3,2023,1,27,4,2023
Kết quả: 10/3/2023,19,2,2023,1,10,3,2023
Kết quả: 14/5/2023,25,3,2023,1,14,5,2023
Kết quả: 3/5/2023,14,3,2023,1,3,5,2023
Kết quả: 22/4/2023,3,3,2023,1,22,4,2023
Kết quả: 1/5/2023,12,3,2023,1,1,5,2023
Kết quả: 30/5/2023,12,4,2023,1,30,5,2023
Kết quả: 19/2/2023,29,1,2023,1,19,2,2023
Kết quả: 8/5/2023,19,3,2023,1,8,5,2023
Kết quả: 15/6/2023,28,4,2023,1,15,6,2023
Kết quả: 19/10/2022,24,9,2022,1,19,10,2022
Kết quả: 2/3/2023,11,2,2023,1,2,3,2023
Kết quả: 14/2/2023,24,1,2023,1,14,2,2023
Kết quả: 23/4/2023,4,3,2023,1,23,4,2023
Kết quả: 24/4/2023,5,3,2023,1,24,4,2023
Kết quả: 7/5/2023,18,3,2023,1,7,5,2023
Kết quả: 7/12/2022,14,11,2022,1,7,12,2022
Kết quả: 29/9/2021,23,8,2021,1,29,9,2021
Kết quả: 13/6/2023,26,4,2023,1,13,6,2023
Kết quả: 7/2/2023,17,1,2023,1,7,2,2023
Kết quả: 17/10/2022,22,9,2022,1,17,10,2022
Kết quả: 29/6/2023,12,5,2023,1,29,6,2023
Kết quả: 25/2/2023,6,2,2023,1,25,2,2023
Kết quả: 11/7/2023,24,5,2023,1,11,7,2023
Kết quả: 1/8/2023,15,6,2023,1,1,8,2023
Kết quả: 2/9/2022,7,8,2022,1,2,9,2022
Kết quả: 24/8/2023,9,7,2023,1,24,8,2023
Kết quả: 5/7/2023,18,5,2023,1,5,7,2023
Kết quả: 25/7/2023,8,6,2023,1,25,7,2023
Kết quả: 23/6/2023,6,5,2023,1,23,6,2023
Kết quả: 2/8/2023,16,6,2023,1,2,8,2023
Kết quả: 2/7/2023,15,5,2023,1,2,7,2023
Kết quả: 18/5/2023,29,3,2023,1,18,5,2023
Kết quả: 12/7/2023,25,5,2023,1,12,7,2023
Kết quả: 29/4/2023,10,3,2023,1,29,4,2023
Kết quả: 20/11/2022,27,10,2022,1,20,11,2022
Kết quả: 23/12/2022,30,11,2022,1,23,12,2022
Kết quả: 26/4/2023,7,3,2023,1,26,4,2023
Kết quả: 19/3/2023,28,2,2023,1,19,3,2023
Kết quả: 8/7/2023,21,5,2023,1,8,7,2023
Kết quả: 24/7/2023,7,6,2023,1,24,7,2023
Kết quả: 5/6/2023,18,4,2023,1,5,6,2023
Kết quả: 4/8/2023,18,6,2023,1,4,8,2023
Kết quả: 8/6/2023,21,4,2023,1,8,6,2023
Kết quả: 26/7/2023,9,6,2023,1,26,7,2023
Kết quả: 3/7/2023,16,5,2023,1,3,7,2023
Kết quả: 16/6/2023,29,4,2023,1,16,6,2023
Kết quả: 12/8/2023,26,6,2023,1,12,8,2023
Kết quả: 30/7/2023,13,6,2023,1,30,7,2023
Kết quả: 23/8/2023,8,7,2023,1,23,8,2023
Kết quả: 6/6/2023,19,4,2023,1,6,6,2023
Kết quả: 22/9/2022,27,8,2022,1,22,9,2022
Kết quả: 13/7/2023,26,5,2023,1,13,7,2023
Kết quả: 10/5/2023,21,3,2023,1,10,5,2023
Kết quả: 15/5/2023,26,3,2023,1,15,5,2023
Kết quả: 12/2/2021,1,1,2021,1,12,2,2021
Kết quả: 20/2/2023,30,1,2023,1,20,2,2023
Kết quả: 10/7/2023,23,5,2023,1,10,7,2023
Kết quả: 4/7/2023,17,5,2023,1,4,7,2023
Kết quả: 19/7/2023,2,6,2023,1,19,7,2023
Kết quả: 20/10/2023,6,9,2023,1,20,10,2023
Kết quả: 28/5/2023,10,4,2023,1,28,5,2023
Kết quả: 17/9/2023,3,8,2023,1,17,9,2023
Kết quả: 24/9/2022,29,8,2022,1,24,9,2022
Kết quả: 20/5/2023,2,4,2023,1,20,5,2023
Kết quả: 1/6/2023,14,4,2023,1,1,6,2023
Kết quả: 11/5/2023,22,3,2023,1,11,5,2023
Kết quả: 10/6/2023,23,4,2023,1,10,6,2023
Kết quả: 19/5/2023,30,3,2023,1,19,5,2023
Kết quả: 20/1/2023,29,12,2022,1,20,1,2023
Kết quả: 18/8/2023,3,7,2023,1,18,8,2023
Kết quả: 23/10/2022,28,9,2022,1,23,10,2022
Kết quả: 29/9/2023,15,8,2023,1,29,9,2023
Kết quả: 6/8/2023,20,6,2023,1,6,8,2023
Kết quả: 29/8/2023,14,7,2023,1,29,8,2023
Kết quả: 9/9/2023,25,7,2023,1,9,9,2023
Kết quả: 2/12/2023,20,10,2023,1,2,12,2023
Kết quả: 3/8/2023,17,6,2023,1,3,8,2023
Kết quả: 22/10/2022,27,9,2022,1,22,10,2022
Kết quả: 12/3/2023,21,2,2023,1,12,3,2023
Kết quả: 15/11/2023,3,10,2023,1,15,11,2023
Kết quả: 17/3/2023,26,2,2023,1,17,3,2023
Kết quả: 6/9/2023,22,7,2023,1,6,9,2023
Kết quả: 21/7/2023,4,6,2023,1,21,7,2023
Kết quả: 4/3/2023,13,2,2023,1,4,3,2023
Kết quả: 22/3/2023,31,2,2023,1,22,3,2023
Kết quả: 30/9/2023,16,8,2023,1,30,9,2023
Kết quả: 5/9/2023,21,7,2023,1,5,9,2023
Kết quả: 28/7/2023,11,6,2023,1,28,7,2023
Kết quả: 21/6/2021,12,5,2021,1,21,6,2021
Kết quả: 18/7/2023,1,6,2023,1,18,7,2023
Kết quả: 8/8/2023,22,6,2023,1,8,8,2023
Kết quả: 21/3/2023,30,2,2023,1,21,3,2023
Kết quả: 1/7/2021,22,5,2021,1,1,7,2021
Kết quả: 17/10/2021,12,9,2021,1,17,10,2021
Kết quả: 22/10/2021,17,9,2021,1,22,10,2021
Kết quả: 27/10/2021,22,9,2021,1,27,10,2021
Kết quả: 15/10/2021,10,9,2021,1,15,10,2021
Kết quả: 23/10/2021,18,9,2021,1,23,10,2021
Kết quả: 24/10/2021,19,9,2021,1,24,10,2021
Kết quả: 11/10/2021,6,9,2021,1,11,10,2021
Kết quả: 19/10/2021,14,9,2021,1,19,10,2021
Kết quả: 15/4/2021,4,3,2021,1,15,4,2021
Kết quả: 17/4/2021,6,3,2021,1,17,4,2021
Kết quả: 27/4/2021,16,3,2021,1,27,4,2021
Kết quả: 20/5/2021,9,4,2021,1,20,5,2021
Kết quả: 21/2/2021,10,1,2021,1,21,2,2021
Kết quả: 13/8/2021,6,7,2021,1,13,8,2021
Kết quả: 24/8/2021,17,7,2021,1,24,8,2021
Kết quả: 18/8/2021,11,7,2021,1,18,8,2021
Kết quả: 15/8/2021,8,7,2021,1,15,8,2021
Kết quả: 18/2/2021,7,1,2021,1,18,2,2021
Kết quả: 21/8/2021,14,7,2021,1,21,8,2021
Kết quả: 23/8/2021,16,7,2021,1,23,8,2021
Kết quả: 20/2/2021,9,1,2021,1,20,2,2021
Kết quả: 25/2/2021,14,1,2021,1,25,2,2021
Kết quả: 22/8/2021,15,7,2021,1,22,8,2021
Kết quả: 14/8/2021,7,7,2021,1,14,8,2021
Kết quả: 26/2/2021,15,1,2021,1,26,2,2021
Kết quả: 19/2/2021,8,1,2021,1,19,2,2021
Kết quả: 11/8/2021,4,7,2021,1,11,8,2021
Kết quả: 27/2/2021,16,1,2021,1,27,2,2021
Kết quả: 10/8/2021,3,7,2021,1,10,8,2021
Kết quả: 20/8/2021,13,7,2021,1,20,8,2021
Kết quả: 29/6/2021,20,5,2021,1,29,6,2021
Kết quả: 26/6/2021,17,5,2021,1,26,6,2021
Kết quả: 30/6/2021,21,5,2021,1,30,6,2021
