result,sowing_day,sowing_month,sowing_year,M4B11_C3B,gre_day,gre_month,gre_year
Kết quả: 10/6/2021,1,5,2021,1,10,6,2021
Kết quả: 27/6/2021,18,5,2021,1,27,6,2021
Kết quả: 28/6/2021,19,5,2021,1,28,6,2021
Kết quả: 22/6/2021,13,5,2021,1,22,6,2021
Kết quả: 22/5/2021,11,4,2021,1,22,5,2021
Kết quả: 4/3/2021,21,1,2021,1,4,3,2021
Kết quả: 17/5/2021,6,4,2021,1,17,5,2021
Kết quả: 19/6/2021,10,5,2021,1,19,6,2021
Kết quả: 21/5/2021,10,4,2021,1,21,5,2021
Kết quả: 21/4/2021,10,3,2021,1,21,4,2021
Kết quả: 3/6/2021,23,4,2021,1,3,6,2021
Kết quả: 8/6/2021,28,4,2021,1,8,6,2021
Kết quả: 9/6/2021,29,4,2021,1,9,6,2021
Kết quả: 26/5/2021,15,4,2021,1,26,5,2021
Kết quả: 28/5/2021,17,4,2021,1,28,5,2021
Kết quả: 31/5/2021,20,4,2021,1,31,5,2021
Kết quả: 29/7/2021,20,6,2021,1,29,7,2021
Kết quả: 30/7/2021,21,6,2021,1,30,7,2021
Kết quả: 19/5/2021,8,4,2021,1,19,5,2021
Kết quả: 23/5/2021,12,4,2021,1,23,5,2021
Kết quả: 25/5/2021,14,4,2021,1,25,5,2021
Kết quả: 29/5/2021,18,4,2021,1,29,5,2021
Kết quả: 16/5/2021,5,4,2021,1,16,5,2021
Kết quả: 18/5/2021,7,4,2021,1,18,5,2021
Kết quả: 6/6/2021,26,4,2021,1,6,6,2021
Kết quả: 4/6/2021,24,4,2021,1,4,6,2021
Kết quả: 30/5/2021,19,4,2021,1,30,5,2021
Kết quả: 31/7/2021,22,6,2021,1,31,7,2021
Kết quả: 20/7/2021,11,6,2021,1,20,7,2021
Kết quả: 14/7/2021,5,6,2021,1,14,7,2021
Kết quả: 3/8/2021,25,6,2021,1,3,8,2021
Kết quả: 10/7/2021,1,6,2021,1,10,7,2021
Kết quả: 16/6/2021,7,5,2021,1,16,6,2021
Kết quả: 28/7/2021,19,6,2021,1,28,7,2021
Kết quả: 23/7/2021,14,6,2021,1,23,7,2021
Kết quả: 13/7/2021,4,6,2021,1,13,7,2021
Kết quả: 19/7/2021,10,6,2021,1,19,7,2021
Kết quả: 22/7/2021,13,6,2021,1,22,7,2021
Kết quả: 24/7/2021,15,6,2021,1,24,7,2021
Kết quả: 15/7/2021,6,6,2021,1,15,7,2021
Kết quả: 17/7/2021,8,6,2021,1,17,7,2021
Kết quả: 11/7/2021,2,6,2021,1,11,7,2021
Kết quả: 18/6/2021,9,5,2021,1,18,6,2021
Kết quả: 23/3/2021,11,2,2021,1,23,3,2021
Kết quả: 20/6/2021,11,5,2021,1,20,6,2021
Kết quả: 15/2/2021,4,1,2021,1,15,2,2021
Kết quả: 27/7/2021,18,6,2021,1,27,7,2021
Kết quả: 13/2/2021,2,1,2021,1,13,2,2021
Kết quả: 14/3/2021,2,2,2021,1,14,3,2021
Kết quả: 7/8/2021,29,6,2021,1,7,8,2021
Kết quả: 16/2/2021,5,1,2021,1,16,2,2021
Kết quả: 25/7/2021,16,6,2021,1,25,7,2021
Kết quả: 22/3/2021,10,2,2021,1,22,3,2021
Kết quả: 29/3/2021,17,2,2021,1,29,3,2021
Kết quả: 6/4/2021,25,2,2021,1,6,4,2021
Kết quả: 27/8/2021,20,7,2021,1,27,8,2021
Kết quả: 4/4/2021,23,2,2021,1,4,4,2021
Kết quả: 30/8/2021,23,7,2021,1,30,8,2021
Kết quả: 2/9/2021,26,7,2021,1,2,9,2021
Kết quả: 17/3/2021,5,2,2021,1,17,3,2021
Kết quả: 25/4/2021,14,3,2021,1,25,4,2021
Kết quả: 16/4/2021,5,3,2021,1,16,4,2021
Kết quả: 22/1/2021,10,12,2020,1,22,1,2021
Kết quả: 27/1/2021,15,12,2020,1,27,1,2021
Kết quả: 13/1/2022,11,12,2021,1,13,1,2022
Kết quả: 24/3/2021,12,2,2021,1,24,3,2021
Kết quả: 17/8/2021,10,7,2021,1,17,8,2021
Kết quả: 17/6/2021,8,5,2021,1,17,6,2021
Kết quả: 17/2/2021,6,1,2021,1,17,2,2021
Kết quả: 1/2/2021,20,12,2020,1,1,2,2021
Kết quả: 7/2/2021,26,12,2020,1,7,2,2021
Kết quả: 6/2/2021,25,12,2020,1,6,2,2021
Kết quả: 1/1/2021,18,11,2020,1,1,1,2021
Kết quả: 2/2/2021,21,12,2020,1,2,2,2021
Kết quả: 3/1/2021,20,11,2020,1,3,1,2021
Kết quả: 13/6/2021,4,5,2021,1,13,6,2021
Kết quả: 30/12/2020,16,11,2020,1,30,12,2020
Kết quả: 14/6/2021,5,5,2021,1,14,6,2021
Kết quả: 27/3/2021,15,2,2021,1,27,3,2021
Kết quả: 28/4/2021,17,3,2021,1,28,4,2021
Kết quả: 18/4/2021,7,3,2021,1,18,4,2021
Kết quả: 20/4/2021,9,3,2021,1,20,4,2021
Kết quả: 26/3/2021,14,2,2021,1,26,3,2021
Kết quả: 11/6/2021,2,5,2021,1,11,6,2021
Kết quả: 4/1/2022,2,12,2021,1,4,1,2022
Kết quả: 1/9/2021,25,7,2021,1,1,9,2021
Kết quả: 20/3/2021,8,2,2021,1,20,3,2021
Kết quả: 7/7/2021,28,5,2021,1,7,7,2021
Kết quả: 5/7/2021,26,5,2021,1,5,7,2021
Kết quả: 15/1/2021,3,12,2020,1,15,1,2021
Kết quả: 23/6/2021,14,5,2021,1,23,6,2021
Kết quả: 15/3/2021,3,2,2021,1,15,3,2021
Kết quả: 16/7/2021,7,6,2021,1,16,7,2021
Kết quả: 3/3/2021,20,1,2021,1,3,3,2021
Kết quả: 29/1/2022,27,12,2021,1,29,1,2022
Kết quả: 3/2/2021,22,12,2020,1,3,2,2021
Kết quả: 29/1/2021,17,12,2020,1,29,1,2021
Kết quả: 30/1/2021,18,12,2020,1,30,1,2021
Kết quả: 21/9/2021,15,8,2021,1,21,9,2021
Kết quả: 9/7/2021,30,5,2021,1,9,7,2021
Kết quả: 3/7/2021,24,5,2021,1,3,7,2021
Kết quả: 13/3/2021,1,2,2021,1,13,3,2021
Kết quả: 21/2/2022,21,1,2022,1,21,2,2022
Kết quả: 19/2/2022,19,1,2022,1,19,2,2022
Kết quả: 16/3/2021,4,2,2021,1,16,3,2021
Kết quả: 28/3/2021,16,2,2021,1,28,3,2021
Kết quả: 30/3/2021,18,2,2021,1,30,3,2021
Kết quả: 5/4/2021,24,2,2021,1,5,4,2021
Kết quả: 9/4/2021,28,2,2021,1,9,4,2021
Kết quả: 1/4/2021,20,2,2021,1,1,4,2021
Kết quả: 3/4/2021,22,2,2021,1,3,4,2021
Kết quả: 4/8/2021,26,6,2021,1,4,8,2021
Kết quả: 2/4/2021,21,2,2021,1,2,4,2021
Kết quả: 6/8/2021,28,6,2021,1,6,8,2021
Kết quả: 15/6/2021,6,5,2021,1,15,6,2021
Kết quả: 2/8/2021,24,6,2021,1,2,8,2021
Kết quả: 18/3/2021,6,2,2021,1,18,3,2021
Kết quả: 17/7/2022,19,6,2022,1,17,7,2022
Kết quả: 31/3/2022,29,2,2022,1,31,3,2022
Kết quả: 19/8/2022,22,7,2022,1,19,8,2022
Kết quả: 8/9/2021,2,8,2021,1,8,9,2021
Kết quả: 2/6/2021,22,4,2021,1,2,6,2021
Kết quả: 8/3/2021,25,1,2021,1,8,3,2021
Kết quả: 12/6/2021,3,5,2021,1,12,6,2021
Kết quả: 15/5/2021,4,4,2021,1,15,5,2021
Kết quả: 24/5/2021,13,4,2021,1,24,5,2021
Kết quả: 27/5/2021,16,4,2021,1,27,5,2021
Kết quả: 20/3/2022,18,2,2022,1,20,3,2022
Kết quả: 2/3/2022,30,1,2022,1,2,3,2022
Kết quả: 16/8/2021,9,7,2021,1,16,8,2021
Kết quả: 12/8/2021,5,7,2021,1,12,8,2021
Kết quả: 9/8/2021,2,7,2021,1,9,8,2021
Kết quả: 9/8/2021,31,6,2021,1,9,8,2021
Kết quả: 1/3/2021,18,1,2021,1,1,3,2021
Kết quả: 5/2/2021,24,12,2020,1,5,2,2021
Kết quả: 5/3/2021,22,1,2021,1,5,3,2021
Kết quả: 9/3/2021,26,1,2021,1,9,3,2021
Kết quả: 2/7/2021,23,5,2021,1,2,7,2021
Kết quả: 25/1/2021,13,12,2020,1,25,1,2021
Kết quả: 6/7/2021,27,5,2021,1,6,7,2021
Kết quả: 31/1/2021,19,12,2020,1,31,1,2021
Kết quả: 8/7/2021,29,5,2021,1,8,7,2021
Kết quả: 4/2/2021,23,12,2020,1,4,2,2021
Kết quả: 19/3/2021,7,2,2021,1,19,3,2021
Kết quả: 26/7/2021,17,6,2021,1,26,7,2021
Kết quả: 17/1/2021,5,12,2020,1,17,1,2021
Kết quả: 11/3/2021,28,1,2021,1,11,3,2021
Kết quả: 13/3/2021,30,1,2021,1,13,3,2021
Kết quả: 12/3/2021,29,1,2021,1,12,3,2021
Kết quả: 28/2/2021,17,1,2021,1,28,2,2021
Kết quả: 1/3/2022,29,1,2022,1,1,3,2022
Kết quả: 18/7/2021,9,6,2021,1,18,7,2021
Kết quả: 18/9/2021,12,8,2021,1,18,9,2021
Kết quả: 12/5/2021,31,3,2021,1,12,5,2021
Kết quả: 7/10/2021,31,8,2021,1,7,10,2021
Kết quả: 8/4/2021,27,2,2021,1,8,4,2021
Kết quả: 3/9/2021,27,7,2021,1,3,9,2021
Kết quả: 22/2/2021,11,1,2021,1,22,2,2021
Kết quả: 1/8/2021,23,6,2021,1,1,8,2021
Kết quả: 9/2/2021,28,12,2020,1,9,2,2021
Kết quả: 5/8/2021,27,6,2021,1,5,8,2021
Kết quả: 31/12/2021,28,11,2021,1,31,12,2021
Kết quả: 2/3/2021,19,1,2021,1,2,3,2021
Kết quả: 1/2/2022,1,1,2022,1,1,2,2022
Kết quả: 30/1/2022,28,12,2021,1,30,1,2022
Kết quả: 8/8/2021,1,7,2021,1,8,8,2021
Kết quả: 7/3/2021,24,1,2021,1,7,3,2021
Kết quả: 26/8/2021,19,7,2021,1,26,8,2021
Kết quả: 25/8/2021,18,7,2021,1,25,8,2021
Kết quả: 19/8/2021,12,7,2021,1,19,8,2021
Kết quả: 23/2/2021,12,1,2021,1,23,2,2021
Kết quả: 31/3/2021,19,2,2021,1,31,3,2021
Kết quả: 14/2/2021,3,1,2021,1,14,2,2021
Kết quả: 28/1/2021,16,12,2020,1,28,1,2021
Kết quả: 16/1/2021,4,12,2020,1,16,1,2021
Kết quả: 11/1/2021,28,11,2020,1,11,1,2021
Kết quả: 10/1/2021,27,11,2020,1,10,1,2021
Kết quả: 13/1/2021,1,12,2020,1,13,1,2021
Kết quả: 29/6/2022,31,5,2022,1,29,6,2022
Kết quả: 1/6/2021,21,4,2021,1,1,6,2021
Kết quả: 17/9/2021,11,8,2021,1,17,9,2021
Kết quả: 23/1/2021,11,12,2020,1,23,1,2021
Kết quả: 7/11/2021,3,10,2021,1,7,11,2021
Kết quả: 6/11/2021,2,10,2021,1,6,11,2021
Kết quả: 6/3/2021,23,1,2021,1,6,3,2021
Kết quả: 21/1/2021,9,12,2020,1,21,1,2021
Kết quả: 24/1/2021,12,12,2020,1,24,1,2021
Kết quả: 20/1/2021,8,12,2020,1,20,1,2021
Kết quả: 8/1/2021,25,11,2020,1,8,1,2021
Kết quả: 28/8/2021,21,7,2021,1,28,8,2021
Kết quả: 14/1/2021,2,12,2020,1,14,1,2021
Kết quả: 12/1/2021,29,11,2020,1,12,1,2021
Kết quả: 18/1/2021,6,12,2020,1,18,1,2021
Kết quả: 31/12/2020,17,11,2020,1,31,12,2020
Kết quả: 18/12/2020,4,11,2020,1,18,12,2020
Kết quả: 16/12/2020,2,11,2020,1,16,12,2020
Kết quả: 7/1/2021,24,11,2020,1,7,1,2021
Kết quả: 29/12/2020,15,11,2020,1,29,12,2020
Kết quả: 28/12/2020,14,11,2020,1,28,12,2020
Kết quả: 26/1/2021,14,12,2020,1,26,1,2021
Kết quả: 31/8/2021,24,7,2021,1,31,8,2021
Kết quả: 4/1/2021,21,11,2020,1,4,1,2021
Kết quả: 21/12/2021,18,11,2021,1,21,12,2021
Kết quả: 19/1/2021,7,12,2020,1,19,1,2021
Kết quả: 5/1/2021,22,11,2020,1,5,1,2021
Kết quả: 14/12/2021,11,11,2021,1,14,12,2021
Kết quả: 5/5/2021,24,3,2021,1,5,5,2021
Kết quả: 9/1/2021,26,11,2020,1,9,1,2021
Kết quả: 10/6/2021,30,4,2021,1,10,6,2021
Kết quả: 17/11/2021,13,10,2021,1,17,11,2021
Kết quả: 25/12/2020,11,11,2020,1,25,12,2020
Kết quả: 26/12/2020,12,11,2020,1,26,12,2020
Kết quả: 22/12/2020,8,11,2020,1,22,12,2020
Kết quả: 7/9/2021,1,8,2021,1,7,9,2021
Kết quả: 16/9/2021,10,8,2021,1,16,9,2021
Kết quả: 11/9/2021,5,8,2021,1,11,9,2021
Kết quả: 4/9/2021,28,7,2021,1,4,9,2021
Kết quả: 2/1/2021,19,11,2020,1,2,1,2021
Kết quả: 10/7/2021,31,5,2021,1,10,7,2021
Kết quả: 18/11/2021,14,10,2021,1,18,11,2021
Kết quả: 24/12/2020,10,11,2020,1,24,12,2020
Kết quả: 4/12/2021,30,10,2021,1,4,12,2021
Kết quả: 9/5/2021,28,3,2021,1,9,5,2021
Kết quả: 6/5/2021,25,3,2021,1,6,5,2021
Kết quả: 23/4/2021,12,3,2021,1,23,4,2021
Kết quả: 20/12/2020,6,11,2020,1,20,12,2020
Kết quả: 21/12/2020,7,11,2020,1,21,12,2020
Kết quả: 3/5/2021,22,3,2021,1,3,5,2021
Kết quả: 19/12/2020,5,11,2020,1,19,12,2020
Kết quả: 17/12/2020,3,11,2020,1,17,12,2020
Kết quả: 30/4/2021,19,3,2021,1,30,4,2021
Kết quả: 23/9/2021,17,8,2021,1,23,9,2021
Kết quả: 13/9/2021,7,8,2021,1,13,9,2021
Kết quả: 19/11/2020,5,10,2020,1,19,11,2020
Kết quả: 16/11/2020,2,10,2020,1,16,11,2020
Kết quả: 22/11/2020,8,10,2020,1,22,11,2020
Kết quả: 15/11/2020,1,10,2020,1,15,11,2020
Kết quả: 11/5/2021,30,3,2021,1,11,5,2021
Kết quả: 18/11/2020,4,10,2020,1,18,11,2020
Kết quả: 30/11/2020,16,10,2020,1,30,11,2020
Kết quả: 20/11/2020,6,10,2020,1,20,11,2020
Kết quả: 29/11/2020,15,10,2020,1,29,11,2020
Kết quả: 27/12/2020,13,11,2020,1,27,12,2020
Kết quả: 22/11/2021,18,10,2021,1,22,11,2021
Kết quả: 16/11/2021,12,10,2021,1,16,11,2021
Kết quả: 25/10/2021,20,9,2021,1,25,10,2021
Kết quả: 26/9/2021,20,8,2021,1,26,9,2021
Kết quả: 2/1/2022,30,11,2021,1,2,1,2022
Kết quả: 19/9/2021,13,8,2021,1,19,9,2021
Kết quả: 14/10/2021,9,9,2021,1,14,10,2021
Kết quả: 7/10/2021,2,9,2021,1,7,10,2021
Kết quả: 3/1/2022,1,12,2021,1,3,1,2022
Kết quả: 23/11/2020,9,10,2020,1,23,11,2020
Kết quả: 8/2/2021,27,12,2020,1,8,2,2021
Kết quả: 9/10/2021,4,9,2021,1,9,10,2021
Kết quả: 13/10/2021,8,9,2021,1,13,10,2021
Kết quả: 9/11/2021,5,10,2021,1,9,11,2021
Kết quả: 12/10/2021,7,9,2021,1,12,10,2021
Kết quả: 29/8/2021,22,7,2021,1,29,8,2021
Kết quả: 31/10/2021,26,9,2021,1,31,10,2021
Kết quả: 21/10/2021,16,9,2021,1,21,10,2021
Kết quả: 14/5/2021,3,4,2021,1,14,5,2021
Kết quả: 2/2/2022,31,12,2021,1,2,2,2022
Kết quả: 25/3/2021,13,2,2021,1,25,3,2021
Kết quả: 12/9/2021,6,8,2021,1,12,9,2021
Kết quả: 10/9/2021,4,8,2021,1,10,9,2021
Kết quả: 21/11/2021,17,10,2021,1,21,11,2021
Kết quả: 18/10/2021,13,9,2021,1,18,10,2021
Kết quả: 22/9/2021,16,8,2021,1,22,9,2021
Kết quả: 1/10/2021,25,8,2021,1,1,10,2021
Kết quả: 6/9/2021,30,7,2021,1,6,9,2021
Kết quả: 11/8/2022,14,7,2022,1,11,8,2022
Kết quả: 28/9/2021,22,8,2021,1,28,9,2021
Kết quả: 9/12/2020,25,10,2020,1,9,12,2020
Kết quả: 2/12/2020,18,10,2020,1,2,12,2020
Kết quả: 24/11/2020,10,10,2020,1,24,11,2020
Kết quả: 5/12/2020,21,10,2020,1,5,12,2020
Kết quả: 2/5/2021,21,3,2021,1,2,5,2021
Kết quả: 4/12/2020,20,10,2020,1,4,12,2020
Kết quả: 14/4/2021,3,3,2021,1,14,4,2021
Kết quả: 15/12/2020,1,11,2020,1,15,12,2020
Kết quả: 12/4/2021,1,3,2021,1,12,4,2021
Kết quả: 14/12/2020,30,10,2020,1,14,12,2020
Kết quả: 26/11/2020,12,10,2020,1,26,11,2020
Kết quả: 4/10/2021,28,8,2021,1,4,10,2021
Kết quả: 28/11/2020,14,10,2020,1,28,11,2020
Kết quả: 14/9/2021,8,8,2021,1,14,9,2021
Kết quả: 13/5/2021,2,4,2021,1,13,5,2021
Kết quả: 1/8/2022,4,7,2022,1,1,8,2022
Kết quả: 10/5/2021,29,3,2021,1,10,5,2021
Kết quả: 28/9/2022,3,9,2022,1,28,9,2022
Kết quả: 5/9/2021,29,7,2021,1,5,9,2021
Kết quả: 7/5/2021,26,3,2021,1,7,5,2021
Kết quả: 23/12/2020,9,11,2020,1,23,12,2020
Kết quả: 8/5/2021,27,3,2021,1,8,5,2021
Kết quả: 6/10/2021,1,9,2021,1,6,10,2021
Kết quả: 5/10/2021,29,8,2021,1,5,10,2021
Kết quả: 25/11/2021,21,10,2021,1,25,11,2021
Kết quả: 6/12/2020,22,10,2020,1,6,12,2020
Kết quả: 8/12/2020,24,10,2020,1,8,12,2020
Kết quả: 7/4/2021,26,2,2021,1,7,4,2021
Kết quả: 3/12/2020,19,10,2020,1,3,12,2020
Kết quả: 25/11/2020,11,10,2020,1,25,11,2020
Kết quả: 2/10/2022,7,9,2022,1,2,10,2022
Kết quả: 25/10/2022,30,9,2022,1,25,10,2022
Kết quả: 2/11/2021,28,9,2021,1,2,11,2021
Kết quả: 13/4/2021,2,3,2021,1,13,4,2021
Kết quả: 27/9/2021,21,8,2021,1,27,9,2021
Kết quả: 20/9/2021,14,8,2021,1,20,9,2021
Kết quả: 10/10/2021,5,9,2021,1,10,10,2021
Kết quả: 6/10/2021,30,8,2021,1,6,10,2021
Kết quả: 8/8/2021,30,6,2021,1,8,8,2021
