...1,Province_ID,SubmissionDate,start,end,today,deviceid,Enumerator_ID,District_name,Commune_name,Hatchery_ID,I_Q3,I_Q4,I_Q4o,Start.PlotRoster,numplots,plot_roster_count,plotnum_1,R_Q1_1,R_Q2_1,R_Q2o_1,R_Q3_1,R_Q3_0_1,R_Q301_1,R_Q3a_1,District_name_source_1,Commune_name_source_1,R_Q4_1,R_Q4a_1,R_Q5_1,R_Q6_1,R_Q7_1,R_Q8_1,R_Q8a_1,R_Q8b_1,R_Q8c_1,R_Q9_1,R_Q10_1,plotnum_2,R_Q1_2,R_Q2_2,R_Q2o_2,R_Q3_2,R_Q3_0_2,R_Q301_2,R_Q3a_2,District_name_source_2,Commune_name_source_2,R_Q4_2,R_Q4a_2,R_Q5_2,R_Q6_2,R_Q7_2,R_Q8_2,R_Q8a_2,R_Q8b_2,R_Q8c_2,R_Q9_2,R_Q10_2,plotnum_3,R_Q1_3,R_Q2_3,R_Q2o_3,R_Q3_3,R_Q3_0_3,R_Q301_3,R_Q3a_3,District_name_source_3,Commune_name_source_3,R_Q4_3,R_Q4a_3,R_Q5_3,R_Q6_3,R_Q7_3,R_Q8_3,R_Q8a_3,R_Q8b_3,R_Q8c_3,R_Q9_3,R_Q10_3,R_Q11,R_Q12,R_Q11b,R_Q11c,R_Q11c_option_1,R_Q11c_option_2,R_Q11c_option_3,R_Q11c_option_4,R_Q11c_option_5,R_Q11c_option_6,R_Q11c_option_7,R_Q11c1,End.PlotRoster,Sampling_roster_count,Samplenum_1,Strain_name_1,S_Q0b_1,S_Q1.Altitude_1,S_Q1.Accuracy_1,S_Q2_1,Ponds_1,Sample_count_1,S_Q10_1_1,S_Q10b_1_1,S_Q10_1_2,S_Q10b_1_2,S_Q10_1_3,S_Q10b_1_3,Samplenum_2,Strain_name_2,S_Q0b_2,S_Q1.Latitude_2,S_Q1.Longitude_2,S_Q1.Altitude_2,S_Q1.Accuracy_2,S_Q2_2,Ponds_2,Sample_count_2,S_Q10_2_1,S_Q10b_2_1,S_Q10_2_2,S_Q10b_2_2,S_Q10_2_3,S_Q10b_2_3,Samplenum_3,Strain_name_3,S_Q0b_3,S_Q1.Latitude_3,S_Q1.Longitude_3,S_Q1.Altitude_3,S_Q1.Accuracy_3,S_Q2_3,Ponds_3,Sample_count_3,S_Q10_3_1,S_Q10b_3_1,S_Q10_3_2,S_Q10b_3_2,S_Q10_3_3,S_Q10b_3_3,nb_samples,End.Sampling_roster,Dur.Roster,Dur.Sampling,signature,End_Comments,X__version__,instanceID,formdef_version,KEY,X,S1_ID,S1_assign,S2_ID,S2_assign,S3_ID,S3_assign,S4_ID,S4_assign,S5_ID,S5_assign,S6_ID,S6_assign,S7_ID,S7_assign,S8_ID,S8_assign,S9_ID,S9_assign,total_samples,Str1_similar,Str2_similar,Str3_similar,Str1_dominant,Str2_dominant,Str3_dominant,Strain_present_1_sample,Strain_present_1_pond,Province_name,Region,CSMAP,R_Q8_rec,GIFT_for_sale,Origin_fin,S_Q1.Latitude_anonymized,S_Q1.Longitude_anonymized
14,17,10/08/2023 18:21,10/08/2023 18:08,10/08/2023 18:21,08-Oct-23,3.58E+14,1,148,4819,2101,Cán bộ phụ thủy sản,option_1,,18:10:16,1,1,1,Đơn tính,option_4,,Trại cá nguyễn văn khương,option_1,972763456,36,,,option_1,option_1,option_2,,option_1,50,option_3,option_1,60,1200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_1 option_2 option_3 option_4 option_5 option_6,1,1,1,1,1,1,0,,18:14:30,1,1,Đơn tính,4,-1,7.2,8,3 cơ sở ngẫu nhiên (1:1:1,3,Q5-1479,,Q5-1206,,Q5-1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18:20:38,4,6,https://vhlss23test.surveycto.com/view/submission-attachment/1696764044375.jpg?uuid=uuid%3A2492075d-df92-4bae-a9c8-88f6b63b7fa0,Không,vPLgT4JJBcbPzUGUssuxcS,uuid:2492075d-df92-4bae-a9c8-88f6b63b7fa0,2306161529,uuid:2492075d-df92-4bae-a9c8-88f6b63b7fa0,20,Q5-1479,RIA1,Q5-1206,RIA1,Q5-1075,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Hoa Binh,2_NMMA,,5.00E+05,TRUE,FALSE,20.78116626,105.3197655
15,17,10/11/2023 09:21,10/07/2023 08:45,10/11/2023 09:20,07-Oct-23,3.58E+14,1,157,5335,71001,Chủ trại cá,option_4,,04:47:40,2,2,1,Đơn tính,option_4,,Trại giống cá,option_2,,31,,,option_1,option_2,option_2,,option_1,4,option_3,option_1,2,1500,4,2,Rô lai,option_6,Tự sản xuất,Trại cá giống lâm hóa,option_1,342504172,17,157,5335,option_2,,,,option_2,4000,option_4,option_1,35,1500,5,,,,,,,,,,,,,,,,,,,,,,option_1,1 - Rô lai,option_2,,,,,,,,,,05:56:21,2,1,Đơn tính,2,13,10.2,0,2 cơ sở (2:1),3,,,,,,,2,Rô lai,2,20.4362949,105.480005,35,8.7,10,2 cơ sở (2:1),3,Q5-1183,,Q5-1123,,Q5-1100,,,,,,,,,,,,,,,,,,6,05:15:44,68,-40,https://vhlss23test.surveycto.com/view/submission-attachment/1696644950258.jpg?uuid=uuid%3A32c076f0-ef76-4bdd-b006-ad225010aac0,"12 tháng qua có 2 dòng cá rô phi, hiện nay chỉ có 1 dòng rô lai do trại tự lai tạo
Trại không chia sẻ thông tin về nguồn giống nhập ở đâu chỉ chia sẻ là ở Hải Phòng",vPLgT4JJBcbPzUGUssuxcS,uuid:32c076f0-ef76-4bdd-b006-ad225010aac0,2306161529,uuid:32c076f0-ef76-4bdd-b006-ad225010aac0,5,,,,,,,Q5-1183,RIA1,Q5-1123,RIA1,Q5-1100,RIA1,,,,,,,3,FALSE,TRUE,FALSE,,RIA1,,GIFT-derived,GIFT-derived,Tinh Hoa Binh,2_NMMA,,40000,TRUE,FALSE,20.43633949,105.486876
16,17,10/09/2023 07:00,10/08/2023 16:39,10/09/2023 06:59,08-Oct-23,3.58E+14,1,148,4807,81001,Chủ hộ kinh doanh,option_4,,16:41:31,2,2,1,Bảo lộc,option_4,,Trại cá hưng yên,option_2,,33,,,option_1,option_2,option_2,,option_99,5,option_3,option_2,0,1500,5,2,Rô thái,option_4,,Trại cá hưng yên,option_2,,33,,,option_1,option_2,option_2,,option_99,1,option_3,option_2,,1500,5,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,16:47:26,2,1,Bảo lộc,0,-5.8,7.5,,3 cơ sở ngẫu nhiên (1:1:1,3,,,,,,,2,Rô thái,2,20.8111833,105.3413775,-5.8,9,5,2 cơ sở (2:1),3,Q5-1495,,Q5-1200,,Q5-1216,,,,,,,,,,,,,,,,,,6,16:55:37,5,8,https://vhlss23test.surveycto.com/view/submission-attachment/1696758925150.jpg?uuid=uuid%3A4bc67cb4-7b99-4897-8aab-b5d45a314133,"Cơ sở 12 tháng qua có 2 loại rô phi, hiện nay chỉ còn 1 loại rô thái.
Về thông tin nhập cá ở đâu cơ sở không chia sẻ thông tin chỉ bảo ở Hưng Yên.",vPLgT4JJBcbPzUGUssuxcS,uuid:4bc67cb4-7b99-4897-8aab-b5d45a314133,2306161529,uuid:4bc67cb4-7b99-4897-8aab-b5d45a314133,6,,,,,,,Q5-1495,RIA1,Q5-1200,RIA1,Q5-1216,RIA1,,,,,,,3,FALSE,TRUE,FALSE,,RIA1,,GIFT-derived,GIFT-derived,Tinh Hoa Binh,2_NMMA,,50000,FALSE,FALSE,20.81998123,105.3171486
17,19,6/27/2023 22:31,6/27/2023 14:46,6/27/2023 22:16,27-Jun-23,668fa2006a285b94,1,168,5650,0,Giám đốc,option_4,,13:50:02,1,1,1,Rô thái,option_4,,Hiệp toan,option_1,985033599,24,223,7819,option_1,option_3,option_2,,option_99,100,option_3,option_1,100,1000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_2,0,1,0,0,0,0,0,,13:56:52,1,1,Rô thái,2,14.1,4.9,3,2 cơ sở (2:1),3,,Q31246,,Q31419,,Q2701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14:22:05,6,25,https://vhlss23test.surveycto.com/view/submission-attachment/1687854140839.jpg?uuid=uuid%3Aa7d090d7-a83c-4fce-acaa-2d5d80efcefa,Trang trại bán nhiều cho các hộ,vPLgT4JJBcbPzUGUssuxcS,uuid:a7d090d7-a83c-4fce-acaa-2d5d80efcefa,2306161529,uuid:a7d090d7-a83c-4fce-acaa-2d5d80efcefa,81,Q3-1246,RIA1,Q3-1419,RIA1,Q2-701,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Thai Nguyen,2_NMMA,,1.00E+06,FALSE,FALSE,21.68826928,105.7744092
18,19,6/29/2023 17:24,6/29/2023 15:57,6/29/2023 16:57,29-Jun-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,164,5491,2027,Trưởng bộ phận khoa học công nghệ,option_5,Trung tâm nghiên cứu,15:00:00,2,2,1,Bảo lộc,option_6,Lấy tại hộ nuôi thương lái,Nguyễn xuân khái ( thương lái),option_1,977570754,27,261,9394,option_1,option_1,option_2,,option_2,5,option_3,option_2,0,1000,4,2,Đường nghiệp,option_6,"Hộ dân , thương lái",Nguyễn xuân khái ( thương lái),option_1,977570754,27,261,9394,option_1,option_1,option_2,,option_2,4,option_3,option_2,,1000,4,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,15:10:00,2,1,Bảo lộc,1,31.7,8,4,1 cơ sở,3,Q2-965,,Q2-555,,Q3-1002,,2,Đường nghiệp,1,21.59377297,105.8023292,32.8,16,3,1 cơ sở,3,Q2-742,,Q2-827,,Q2-799,,,,,,,,,,,,,,,,,,6,16:51:00,9,101,https://vhlss23test.surveycto.com/view/submission-attachment/1688032562414.jpg?uuid=uuid%3A3d8057a0-8bf7-41f5-a54a-03a3c078c299,"Lưu ý là trung tâm nghiên cứu nên chỉ có cá giống nên mẫu cá nhỏ phải dùng kéo lấy mẫu ( sẽ không được chính xác như dùng kìm bấm ) , mà trung mua cá của thương lái bên ngoài đã có thông tin tên và số điện thoại",vPLgT4JJBcbPzUGUssuxcS,uuid:3d8057a0-8bf7-41f5-a54a-03a3c078c299,2306161529,uuid:3d8057a0-8bf7-41f5-a54a-03a3c078c299,64,Q2-965,RIA1,Q2-555,RIA1,Q3-1002,RIA1,Q2-742,RIA1,Q2-827,RIA1,Q2-799,RIA1,,,,,,,6,TRUE,TRUE,FALSE,RIA1,RIA1,,GIFT-derived,GIFT-derived,Tinh Thai Nguyen,2_NMMA,,50000,FALSE,FALSE,21.56040252,105.7841815
19,19,6/27/2023 22:31,6/27/2023 15:38,6/27/2023 22:22,27-Jun-23,668fa2006a285b94,1,168,5650,270602,Chủ hộ,option_5,Kinh doanh cá thể,15:41:43,1,1,1,Đường nghiệp,option_4,,A đang,option_2,,27,,,option_1,option_3,option_2,,option_99,30,option_3,option_1,99,1200,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_99,,,,,,,,,,15:46:37,1,1,Đường nghiệp,1,21.7,4.7,5,1 cơ sở,3,,Q31149,,Q2663,,Q31155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16:04:31,4,17,https://vhlss23test.surveycto.com/view/submission-attachment/1687856713202.jpg?uuid=uuid%3A175e4aaa-7fb6-4cc5-be41-3472fa3e857e,Hộ kd như a hiệp khoảng 12 nhà xung quanh như một khu buôn bán cho các hộ ở huyện và các đại lý bán dong,vPLgT4JJBcbPzUGUssuxcS,uuid:175e4aaa-7fb6-4cc5-be41-3472fa3e857e,2306161529,uuid:175e4aaa-7fb6-4cc5-be41-3472fa3e857e,11,Q3-1149,RIA1,Q2-663,RIA1,Q3-1155,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Thai Nguyen,2_NMMA,,3.00E+05,FALSE,FALSE,21.65839115,105.8015795
20,19,6/29/2023 12:55,6/29/2023 12:13,6/29/2023 12:47,29-Jun-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,167,5596,1953,Phó giám đốc hợp tác xã,option_3,,12:16:00,1,1,1,Na uy,option_4,,Trại cá giống Đức chí,option_1,399928888,30,298,11086,option_1,option_1,option_2,,option_2,1,option_3,option_2,0,60000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,12:23:00,1,1,Na uy,1,127.9,16,20,1 cơ sở,3,Q3-1023,,,Q2-636,Q2-610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12:45:00,6,22,https://vhlss23test.surveycto.com/view/submission-attachment/1688017588347.jpg?uuid=uuid%3A9dcb0f5f-343a-4688-8b5a-41c1f68717ab,Trại cá của hợp tác xã lấy cá giống ở trại cá giống đức chí hải dương ( đã khảo sát đợt đầu ),vPLgT4JJBcbPzUGUssuxcS,uuid:9dcb0f5f-343a-4688-8b5a-41c1f68717ab,2306161529,uuid:9dcb0f5f-343a-4688-8b5a-41c1f68717ab,18,Q3-1023,RIA1,Q2-636,RIA1,Q2-610,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Thai Nguyen,2_NMMA,,10000,FALSE,FALSE,21.80346373,105.6755725
21,19,6/30/2023 13:11,6/30/2023 12:08,6/30/2023 13:01,30-Jun-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,173,5908,2927,Đội trưởng đội sản xuất hoà sơn,option_5,Trung tâm giống vật nuôi cây trồng và thuỷ sản thái nguyên,12:13:00,1,1,1,Bảo lộc,option_6,Mua của thương lái Thuận ( không nhớ rõ họ tên đầy đủ ),Trại cá thương lái Thuận ở móng cái quảng ninh,option_1,982535904,22,194,,option_1,option_1,option_2,,option_2,40,option_3,option_2,0,1200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,12:24:00,1,1,Bảo lộc,1,19.1,8,4,1 cơ sở,3,Q1-413,,Q2-823,,Q2-855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13:00:00,10,36,https://vhlss23test.surveycto.com/view/submission-attachment/1688104860201.jpg?uuid=uuid%3Ab52e602f-cc78-423e-969c-a26f5d7bd8a3,"Do là trại cá giống nên cá lấy mẫu rất nhỏ phải dùng kéo cắt nên mẫu xét nghiệm về kích cỡ có thể hơi to chưa chuẩn như dùng kìm bấm , anh chị lưu ý giúp",vPLgT4JJBcbPzUGUssuxcS,uuid:b52e602f-cc78-423e-969c-a26f5d7bd8a3,2306161529,uuid:b52e602f-cc78-423e-969c-a26f5d7bd8a3,80,Q1-413,RIA1,,,Q2-855,RIA1,,,,,,,,,,,,,2,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Thai Nguyen,2_NMMA,,4.00E+05,FALSE,FALSE,21.42936432,106.0227982
22,19,6/30/2023 18:36,6/30/2023 16:31,6/30/2023 16:57,30-Jun-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,171,5809,2861,Tổ trưởng tổ sản xuất,option_1,,16:44:00,1,1,1,Đường nghiệp,option_6,Lấy của thương lái,Do trại không muốn tiết lộ nơi lấy giống nên phần lấy giống không thể điền được,option_2,,1003,,,option_1,option_1,option_2,,option_2,60,option_3,option_2,0,800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,16:52:00,1,1,Đường nghiệp,1,43.2,16,4,1 cơ sở,3,Q3-1459,,Q2-789,,Q2-753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16:56:00,8,3,https://vhlss23test.surveycto.com/view/submission-attachment/1688119006612.jpg?uuid=uuid%3Af50020f5-fdd7-4e0e-a0f6-25c7ef7097b0,Trại cá giống không muốn nói nơi nhập giống cá về trại nên phần thông tin nguồn gốc nhập không có dữ liệu anh chị lưu ý giúp em,vPLgT4JJBcbPzUGUssuxcS,uuid:f50020f5-fdd7-4e0e-a0f6-25c7ef7097b0,2306161529,uuid:f50020f5-fdd7-4e0e-a0f6-25c7ef7097b0,65,Q3-1459,RIA1,,,Q2-753,RIA1,,,,,,,,,,,,,2,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Thai Nguyen,2_NMMA,,6.00E+05,FALSE,FALSE,21.61244934,105.7159265
23,20,5/15/2023 16:28,5/15/2023 16:13,5/15/2023 16:28,15-May-23,(web),1,Bắc Sơn,Thị trấn Bắc Sơn,40502,Chủ Trại,option_4,,11:45:21,1,1,1,Bảo Lộc,option_4,,Ông Thuyên,option_1,986364853,27,Lương Tài,99,option_1,option_1,option_2,,option_99,3,option_2,option_1,95,1500,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,11:55:33,1,1,Bảo Lộc,6,0,2154.8,5,3 cơ sở ngẫu nhiên (1:1:1,3,Q1-557,,Q1-698,,Q1-777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12:15:36,10,20,https://vhlss23test.surveycto.com/view/submission-attachment/LS_TC_Q1_040502-1684142875264.jpg?uuid=uuid%3Ad5d60fd8-2d36-4f99-b99d-dd20459d92ec,Trại giống đang chuyển sang dịch vụ bể bơi và câu cá,vPLgT4JJBcbPzUGUssuxcS,uuid:d5d60fd8-2d36-4f99-b99d-dd20459d92ec,2304241104,uuid:d5d60fd8-2d36-4f99-b99d-dd20459d92ec,16,Q1-557,RIA1,Q1-698,RIA1,Q1-777,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Lang Son,2_NMMA,,3000,FALSE,FALSE,21.02115747,105.8365295
24,20,5/15/2023 16:37,5/15/2023 16:28,5/15/2023 16:37,15-May-23,(web),1,Bắc Sơn,Thị trấn Bắc Sơn,40501,Giám đốc,option_3,,10:50:21,1,1,1,Bảo Lộc,option_3,,99,option_1,973714486,25,99,99,option_1,option_1,option_2,,option_2,5,option_3,option_1,40,1800,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_1 option_2 option_3,1,1,1,0,0,0,0,,11:05:46,1,1,Bảo Lộc,18,0,2154.8,26,3 cơ sở ngẫu nhiên (1:1:1,3,Q1-586,,Q1-793,,Q1-518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11:10:15,15,4,https://vhlss23test.surveycto.com/view/submission-attachment/LS_TC_Q1_040501-1684143414903.jpg?uuid=uuid%3A32799c11-bb88-4e31-baf2-f97de0703a37,,vPLgT4JJBcbPzUGUssuxcS,uuid:32799c11-bb88-4e31-baf2-f97de0703a37,2304241104,uuid:32799c11-bb88-4e31-baf2-f97de0703a37,2,,,Q1-793,RIA1,Q1-518,RIA1,,,,,,,,,,,,,2,TRUE,FALSE,FALSE,None,,,GIFT-derived,Other,Tinh Lang Son,2_NMMA,,50000,FALSE,FALSE,21.05742157,105.7952926
25,22,10/17/2023 21:36,10/17/2023 16:27,10/17/2023 21:36,17-Oct-23,3.58E+14,1,206,7135,171001,Nhân viên,option_4,,16:29:36,1,1,1,Đơn tính,option_5,,99,option_2,,,,,option_1,option_1,option_1,option_3,option_2,50,option_3,option_1,50,1000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,16:30:51,1,1,Đơn tính,2,-13.6,6.8,5,2 cơ sở (2:1),3,Q5-1115,,Q5-1203,,Q5-1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16:32:18,1,1,https://vhlss23test.surveycto.com/view/submission-attachment/1697535182327.jpg?uuid=uuid%3Aa289c551-552f-40cd-a15b-fca50b82bc63,Nhập giống bên Trung Quốc,vPLgT4JJBcbPzUGUssuxcS,uuid:a289c551-552f-40cd-a15b-fca50b82bc63,2306161529,uuid:a289c551-552f-40cd-a15b-fca50b82bc63,8,Q5-1115,RIA1,Q5-1203,RIA1,Q5-1048,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Quang Ninh,2_NMMA,,5.00E+05,FALSE,FALSE,20.97627541,106.8250818
26,22,10/16/2023 15:57,10/16/2023 15:29,10/16/2023 15:56,16-Oct-23,3.58E+14,1,205,7108,161002,Nhân viên,option_4,,15:33:26,1,1,1,Đường nghiệp,option_5,,Cơ sở Đông Thái,option_2,,,,,option_1,option_2,option_1,option_3,option_2,4.00E+06,option_1,option_1,80,500,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_1,1- Đường Nghiệp,option_2,,,,,,,,,,15:36:58,1,1,Đường nghiệp,6,-18.5,7.4,8,3 cơ sở ngẫu nhiên (1:1:1,3,Q5-1004,,Q5-1102,,Q5-1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15:56:15,3,19,https://vhlss23test.surveycto.com/view/submission-attachment/1697446582225.jpg?uuid=uuid%3A48dd7ee0-0999-4bae-b928-4ab843dbec59,Cơ sở nhập cá bên Trung Quốc và chủ cũng là người Trung Quốc,vPLgT4JJBcbPzUGUssuxcS,uuid:48dd7ee0-0999-4bae-b928-4ab843dbec59,2306161529,uuid:48dd7ee0-0999-4bae-b928-4ab843dbec59,7,Q5-1004,RIA1,Q5-1102,RIA1,Q5-1376,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Quang Ninh,2_NMMA,,4.00E+06,FALSE,FALSE,21.06786735,106.7054865
27,22,10/16/2023 14:30,10/16/2023 14:19,10/16/2023 14:30,16-Oct-23,3.58E+14,1,205,7123,161001,Chủ cơ sở,option_4,,14:20:52,1,1,1,Đường nghiệp,option_4,,Cá giống Đông Mai,option_2,,22,206,7135,option_1,option_2,option_1,option_3,option_2,10,option_3,option_2,0,900,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,14:23:38,1,1,Đường nghiệp,2,-7,11,10,2 cơ sở (2:1),3,Q5-1341,,Q5-1065,,Q5-1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14:26:24,2,2,https://vhlss23test.surveycto.com/view/submission-attachment/1697441190858.jpg?uuid=uuid%3A9256a59c-a1e4-4167-8623-9e59b9be5494,,vPLgT4JJBcbPzUGUssuxcS,uuid:9256a59c-a1e4-4167-8623-9e59b9be5494,2306161529,uuid:9256a59c-a1e4-4167-8623-9e59b9be5494,83,Q5-1341,RIA1,Q5-1065,RIA1,Q5-1116,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Quang Ninh,2_NMMA,,1.00E+05,FALSE,TRUE,21.06970802,106.5153218
28,24,10/03/2023 17:10,10/03/2023 13:16,10/03/2023 17:05,03-Oct-23,0AED3878-A257-4CDA-8785-9CC74942B7FD,4,223,7828,31001,Chủ trại,option_4,,12:17:00,2,2,1,Bảo Lộc,option_4,,Ông Linh,option_1,378600243,30,,,option_1,option_1,option_1,option_3,option_2,25,option_3,option_1,25,1000,2,2,Thái Lan,option_4,,Ông Trí,option_2,,30,,,option_1,option_1,option_1,option_3,option_2,16,option_3,option_1,30,1000,2,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,12:27:00,2,1,Bảo Lộc,0,15.7,5,,3 cơ sở ngẫu nhiên (1:1:1,3,,,,,,,2,Thái Lan,2,21.40313298,105.9910834,16.2,8.1,3,2 cơ sở (2:1),3,Q5-1337,,Q5-1231,,Q5-1210,,,,,,,,,,,,,,,,,,6,12:27:00,9,0,https://vhlss23test.surveycto.com/view/submission-attachment/1696317923789.jpg?uuid=uuid%3A109500c9-cc8a-4121-85b7-e3b2f4cf04b9,"Dòng cá Bảo Lộc không còn, trại chỉ còn dòng Thái Lan",vPLgT4JJBcbPzUGUssuxcS,uuid:109500c9-cc8a-4121-85b7-e3b2f4cf04b9,2306161529,uuid:109500c9-cc8a-4121-85b7-e3b2f4cf04b9,4,,,,,,,Q5-1337,RIA1,Q5-1231,RIA1,Q5-1210,RIA1,,,,,,,3,FALSE,TRUE,FALSE,,RIA1,,GIFT-derived,GIFT-derived,Tinh Bac Giang,2_NMMA,1,250000,FALSE,FALSE,21.36493106,105.9919148
