...1,Province_ID,SubmissionDate,start,end,today,deviceid,Enumerator_ID,District_name,Commune_name,Hatchery_ID,I_Q3,I_Q4,I_Q4o,Start.PlotRoster,numplots,plot_roster_count,plotnum_1,R_Q1_1,R_Q2_1,R_Q2o_1,R_Q3_1,R_Q3_0_1,R_Q301_1,R_Q3a_1,District_name_source_1,Commune_name_source_1,R_Q4_1,R_Q4a_1,R_Q5_1,R_Q6_1,R_Q7_1,R_Q8_1,R_Q8a_1,R_Q8b_1,R_Q8c_1,R_Q9_1,R_Q10_1,plotnum_2,R_Q1_2,R_Q2_2,R_Q2o_2,R_Q3_2,R_Q3_0_2,R_Q301_2,R_Q3a_2,District_name_source_2,Commune_name_source_2,R_Q4_2,R_Q4a_2,R_Q5_2,R_Q6_2,R_Q7_2,R_Q8_2,R_Q8a_2,R_Q8b_2,R_Q8c_2,R_Q9_2,R_Q10_2,plotnum_3,R_Q1_3,R_Q2_3,R_Q2o_3,R_Q3_3,R_Q3_0_3,R_Q301_3,R_Q3a_3,District_name_source_3,Commune_name_source_3,R_Q4_3,R_Q4a_3,R_Q5_3,R_Q6_3,R_Q7_3,R_Q8_3,R_Q8a_3,R_Q8b_3,R_Q8c_3,R_Q9_3,R_Q10_3,R_Q11,R_Q12,R_Q11b,R_Q11c,R_Q11c_option_1,R_Q11c_option_2,R_Q11c_option_3,R_Q11c_option_4,R_Q11c_option_5,R_Q11c_option_6,R_Q11c_option_7,R_Q11c1,End.PlotRoster,Sampling_roster_count,Samplenum_1,Strain_name_1,S_Q0b_1,S_Q1.Altitude_1,S_Q1.Accuracy_1,S_Q2_1,Ponds_1,Sample_count_1,S_Q10_1_1,S_Q10b_1_1,S_Q10_1_2,S_Q10b_1_2,S_Q10_1_3,S_Q10b_1_3,Samplenum_2,Strain_name_2,S_Q0b_2,S_Q1.Latitude_2,S_Q1.Longitude_2,S_Q1.Altitude_2,S_Q1.Accuracy_2,S_Q2_2,Ponds_2,Sample_count_2,S_Q10_2_1,S_Q10b_2_1,S_Q10_2_2,S_Q10b_2_2,S_Q10_2_3,S_Q10b_2_3,Samplenum_3,Strain_name_3,S_Q0b_3,S_Q1.Latitude_3,S_Q1.Longitude_3,S_Q1.Altitude_3,S_Q1.Accuracy_3,S_Q2_3,Ponds_3,Sample_count_3,S_Q10_3_1,S_Q10b_3_1,S_Q10_3_2,S_Q10b_3_2,S_Q10_3_3,S_Q10b_3_3,nb_samples,End.Sampling_roster,Dur.Roster,Dur.Sampling,signature,End_Comments,X__version__,instanceID,formdef_version,KEY,X,S1_ID,S1_assign,S2_ID,S2_assign,S3_ID,S3_assign,S4_ID,S4_assign,S5_ID,S5_assign,S6_ID,S6_assign,S7_ID,S7_assign,S8_ID,S8_assign,S9_ID,S9_assign,total_samples,Str1_similar,Str2_similar,Str3_similar,Str1_dominant,Str2_dominant,Str3_dominant,Strain_present_1_sample,Strain_present_1_pond,Province_name,Region,CSMAP,R_Q8_rec,GIFT_for_sale,Origin_fin,S_Q1.Latitude_anonymized,S_Q1.Longitude_anonymized
45,40,4/25/2023 21:24,4/25/2023 12:53,4/25/2023 15:02,25-Apr-23,668fa2006a285b94,1,"""đô lương""","""thịnh sơn""",25042023,Giám đốc,option_4,,12:56:06,1,1,1,Bao loc,option_4,,Cty hai ha hai phong,option_2,,31,Ko ro,Ko ro,option_2,,,,option_2,400,option_3,option_1,100,800,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,13:05:21,1,1,Bao loc,30,68.1,3.6,7,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-057,,Q1-072,,Q1-026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13:25:35,9,20,https://vhlss23test.surveycto.com/view/submission-attachment/1682403920677.jpg?uuid=uuid%3Acef2e272-7649-4989-a0c1-9567f45b8d7a,,vPLgT4JJBcbPzUGUssuxcS,uuid:cef2e272-7649-4989-a0c1-9567f45b8d7a,2304241104,uuid:cef2e272-7649-4989-a0c1-9567f45b8d7a,63,Q1-057,RIA1,Q1-072,RIA1,Q1-026,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Nghe An,3_NCCCA,1,4.00E+06,FALSE,FALSE,18.92078254,105.3725269
46,40,4/26/2023 19:06,4/26/2023 13:33,4/26/2023 18:34,26-Apr-23,668fa2006a285b94,1,Nghĩa dan,Nghĩa đức,26042023,Quan ly bo phan,option_1,,13:37:25,1,1,1,Duong nghiep,option_6,Trung tâm giống thủy sản nghệ An,TT giống nghệ An,option_1,986183656,40,Diễn Châu,Diễn yên,option_1,option_1,option_2,,option_99,10,option_3,option_1,5,1000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_1,Rophi cá của quỹ gen,option_2,,,,,,,,,,13:46:58,1,1,Duong nghiep,17,38.5,3.9,5,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-591,,Q1-699,,Q1-646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14:05:42,9,18,https://vhlss23test.surveycto.com/view/submission-attachment/1682493842682.jpg?uuid=uuid%3A1cb94e67-0fef-4581-9bd7-ff949333cc93,Chỉ có một ao là cá giống,vPLgT4JJBcbPzUGUssuxcS,uuid:1cb94e67-0fef-4581-9bd7-ff949333cc93,2304241104,uuid:1cb94e67-0fef-4581-9bd7-ff949333cc93,71,Q1-591,RIA1,Q1-699,RIA1,Q1-646,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Nghe An,3_NCCCA,1,1.00E+05,FALSE,TRUE,19.21425663,105.3076025
47,40,4/25/2023 21:24,4/25/2023 16:22,4/25/2023 17:26,25-Apr-23,668fa2006a285b94,1,Dien chau,Dien yen,25042023,Chu trai,option_4,,16:25:47,2,2,1,Bao loc,option_4,,Vien 1 bà van,option_1,912092538,31,An lao,Ko ro,option_1,option_1,option_2,,option_2,35,option_3,option_1,33,750,1,2,Genomar,option_4,,Ko ro,option_1,915901556,72,Ko ro,Ko ro,option_1,option_1,option_2,,option_2,12,option_3,option_1,50,750,1,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,16:34:49,2,1,Bao loc,7,7.3,4.5,36,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-069,,Q1-100,,Q1-294,2,Genomar,7,19.068364,105.581954,0.8,4.6,5,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-150,,Q1-142,,Q1-172,,,,,,,,,,,,,,,,,6,17:25:07,9,50,https://vhlss23test.surveycto.com/view/submission-attachment/1682418319912.jpg?uuid=uuid%3A24354c01-23eb-4948-9318-87ac558de807,Dong 2 lay đc 25 ngay,vPLgT4JJBcbPzUGUssuxcS,uuid:24354c01-23eb-4948-9318-87ac558de807,2304241104,uuid:24354c01-23eb-4948-9318-87ac558de807,75,Q1-069,RIA1,Q1-100,RIA1,Q1-294,RIA1,Q1-150,GENOGain,Q1-142,GENOGain,Q1-172,GENOGain,,,,,,,6,TRUE,TRUE,FALSE,RIA1,GENOGain,,GIFT-derived,GIFT-derived,Tinh Nghe An,3_NCCCA,1,350000,FALSE,FALSE,19.06179987,105.5759403
48,40,4/24/2023 22:18,4/24/2023 18:05,4/24/2023 18:37,24-Apr-23,668fa2006a285b94,1,Yen thanh,Lien thanh,24042023,Chu trang trai,option_4,,18:07:50,1,1,1,Duong nghiep,option_4,,Hai phong,,,72,Nguyen minh,Tien minh tien lang,option_1,option_1,option_2,,option_99,1,option_3,option_2,0,1000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_2 option_4,0,1,0,1,0,0,0,,18:14:36,1,1,Duong nghiep,1,13.7,4.1,26,1 cơ sở,3,,Q1-151,,Q1-065,,Q1-017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18:36:37,6,22,https://vhlss23test.surveycto.com/view/submission-attachment/1682336215286.jpg?uuid=uuid%3A902554a5-69c1-4f35-8122-08040e31ff55,,vPLgT4JJBcbPzUGUssuxcS,uuid:902554a5-69c1-4f35-8122-08040e31ff55,2304211647,uuid:902554a5-69c1-4f35-8122-08040e31ff55,15,Q1-151,RIA1,Q1-065,RIA1,Q1-017,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Nghe An,3_NCCCA,1,10000,FALSE,FALSE,18.90863596,105.4403559
49,40,10/05/2023 07:14,10/04/2023 07:44,10/04/2023 10:24,04-Oct-23,056cac11318aed22,3,425,17401,41001,Trại trưởng,option_1,,07:48:27,1,1,1,Bảo lộc,option_4,,Công ty tnhh phương anh,option_2,,22,194,,option_1,option_1,option_1,option_3,option_99,1500000,option_1,option_1,30,1000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,07:52:05,1,1,Bảo lộc,1,-10,4.9,2,1 cơ sở,3,Q5-1188,,Q6-1730,,Q5-1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10:23:52,3,151,https://vhlss23test.surveycto.com/view/submission-attachment/1696389841947.jpg?uuid=uuid%3A3fbf8f4b-e27b-4c73-85dc-3e8ec940e14d,Tốt,vPLgT4JJBcbPzUGUssuxcS,uuid:3fbf8f4b-e27b-4c73-85dc-3e8ec940e14d,2306161529,uuid:3fbf8f4b-e27b-4c73-85dc-3e8ec940e14d,42,Q5-1188,RIA1,,,Q5-1360,RIA1,,,,,,,,,,,,,2,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Nghe An,3_NCCCA,1,1500000,FALSE,FALSE,19.05074783,105.5833129
50,40,10/05/2023 07:14,10/04/2023 11:05,10/04/2023 11:33,04-Oct-23,056cac11318aed22,3,425,17401,41002,Trại trưởng cá,option_1,,11:08:27,1,1,1,Đường nghiệp,option_3,,Trại cá trung tâm thủy sản Nghệ An,option_1,986183656,40,425,17401,option_1,option_2,option_2,,option_2,15,option_3,option_2,0,1000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,11:13:21,1,1,Đường nghiệp,1,-10.8,4.5,2,1 cơ sở,3,Q5-1402,,Q6-1719,,Q6-1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11:32:59,4,19,https://vhlss23test.surveycto.com/view/submission-attachment/1696393987201.jpg?uuid=uuid%3Acefe4ebb-ad38-43d6-b7fa-0922c2b05120,Tốt,vPLgT4JJBcbPzUGUssuxcS,uuid:cefe4ebb-ad38-43d6-b7fa-0922c2b05120,2306161529,uuid:cefe4ebb-ad38-43d6-b7fa-0922c2b05120,68,Q5-1402,RIA1,Q6-1719,RIA1,Q6-1573,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Nghe An,3_NCCCA,1,150000,FALSE,TRUE,19.08842836,105.6147883
51,42,07/06/2023 20:03,07/06/2023 09:28,07/06/2023 09:37,06-Jul-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,443,18406,60701,Giám đốc,option_4,,09:30:00,1,1,1,Bảo lộc,option_6,Lấy qua thương lái trung gian,Tên thương lái Phạm Trường,option_1,962734709,31,316,,option_1,option_1,option_2,,option_2,5,option_3,option_1,50,1500,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,09:35:00,1,1,Bảo lộc,1,3.4,8,5,1 cơ sở,3,Q2-860,,Q2-550,,Q2-782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,09:37:00,5,1,https://vhlss23test.surveycto.com/view/submission-attachment/1688611060988.jpg?uuid=uuid%3A13e36cc1-53ec-4100-8777-a0c4939fedad,,vPLgT4JJBcbPzUGUssuxcS,uuid:13e36cc1-53ec-4100-8777-a0c4939fedad,2306161529,uuid:13e36cc1-53ec-4100-8777-a0c4939fedad,76,Q2-860,RIA1,Q2-550,RIA1,Q2-782,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Ha Tinh,3_NCCCA,1,50000,FALSE,FALSE,18.46507829,105.7878984
52,42,07/06/2023 20:03,07/06/2023 19:41,07/06/2023 20:03,06-Jul-23,E4881F81-7CE5-4A9C-BD11-E9E9E0116051,3,440,18283,60702,Trại trưởng,option_1,,19:43:00,1,1,1,Đường nghiệp,option_3,,Trung tâm khoa học kỹ thuật sản xuất giống thuỷ sản quảng ninh,option_1,2033873580,31,205,,option_1,option_5,option_2,,option_99,50,option_3,option_1,30,1200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,19:54:00,1,1,Đường nghiệp,1,10.8,35,3,1 cơ sở,3,,Q2-981,,Q2-649,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19:56:00,11,2,https://vhlss23test.surveycto.com/view/submission-attachment/1688648242395.jpg?uuid=uuid%3A813f688a-a4d6-4a44-afc7-5cf1186621c5,"Anh chị lưu ý vì là trại cá giống hiện tại đã xuất hết cá nên trong trại ao chỉ còn xót lại ít cá chưa xác định được có chuẩn dòng cá  đường nghiệp hay không , và vì hết cá nên chỉ có lấy được 2 mẫu xét nghiệm , mẫu thứ 3 không có bỏ trống . Và  vị trí là 18độ30'26.2""N và 105độ36'34.6""E . Và ID TRẠI cá ghi theo ngày ạ",vPLgT4JJBcbPzUGUssuxcS,uuid:813f688a-a4d6-4a44-afc7-5cf1186621c5,2306161529,uuid:813f688a-a4d6-4a44-afc7-5cf1186621c5,87,Q2-981,RIA1,Q2-649,RIA1,,,,,,,,,,,,,,,2,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Ha Tinh,3_NCCCA,1,5.00E+05,FALSE,FALSE,18.53769397,105.6316771
53,42,4/25/2023 21:24,4/25/2023 9:07,4/25/2023 14:58,25-Apr-23,668fa2006a285b94,1,Anh son,"""Long Sơn""",25042023,Chu trai,option_2,,09:12:14,2,2,1,Duong nghiep,option_4,,Hai phong,option_1,9.00E+08,31,Ko ro,Ko ro,option_1,option_1,option_2,,option_99,25,option_3,option_1,99,1200,4,2,Bao loc,option_4,,Hai phong,option_1,965811235,31,Ko ro,Ko ro,option_1,option_1,option_2,,option_2,25,option_3,option_1,99,1200,4,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_7,0,0,0,0,0,0,1,Ho trợ đầu ra,09:27:51,2,1,Duong nghiep,19,25.1,4.8,25,3 cơ sở ngẫu nhiên (1:1:1,3,,Q1-428,,Q1-158,,Q1-366,2,Bao loc,2,18.9151187,105.1157558,23.7,3.9,2,2 cơ sở (2:1),3,,,,,,,,,,,,,,,,,,,,,,,6,09:57:14,15,29,https://vhlss23test.surveycto.com/view/submission-attachment/1682391482278.jpg?uuid=uuid%3A19dedb9c-dae0-41f1-9c75-4303b1dab683,Bao loc nho ko lấy dc mau,vPLgT4JJBcbPzUGUssuxcS,uuid:19dedb9c-dae0-41f1-9c75-4303b1dab683,2304241104,uuid:19dedb9c-dae0-41f1-9c75-4303b1dab683,14,Q1-428,RIA1,Q1-158,RIA1,Q1-366,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Ha Tinh,3_NCCCA,1,250000,FALSE,FALSE,18.95584296,105.1133682
54,42,4/24/2023 22:18,4/24/2023 15:07,4/24/2023 16:51,24-Apr-23,668fa2006a285b94,1,Yen thanh,Vinh thanh,24042023,Pho giam doc,option_4,,15:10:57,1,1,1,Bao loc,option_4,,Duc chi,,,30,Duc chi,Ko ro,option_1,option_1,option_2,,option_2,5,option_2,option_1,10,1500,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_2 option_4,0,1,0,1,0,0,0,,15:16:14,1,1,Bao loc,1,-16.9,3.9,34,1 cơ sở,3,,Q1-112,,Q1-282,,Q1-419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16:50:22,5,94,https://vhlss23test.surveycto.com/view/submission-attachment/1682329850634.jpg?uuid=uuid%3Ad69a124a-1db8-4668-a321-a310eca15e31,,vPLgT4JJBcbPzUGUssuxcS,uuid:d69a124a-1db8-4668-a321-a310eca15e31,2304211647,uuid:d69a124a-1db8-4668-a321-a310eca15e31,57,Q1-112,RIA1,Q1-282,RIA1,Q1-419,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Ha Tinh,3_NCCCA,1,5000,FALSE,FALSE,18.95675324,105.5105006
55,44,10/03/2023 21:45,10/03/2023 10:20,10/03/2023 14:41,03-Oct-23,056cac11318aed22,3,457,19270,31002,Chủ trại,option_4,,09:21:58,1,1,1,Bảo Lộc,option_4,,Trại cá Hải Phòng,option_2,,31,,,option_1,option_1,option_1,option_3,option_1,100,option_3,option_1,70,500,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,09:26:48,1,1,Bảo Lộc,1,-9.5,5,3,1 cơ sở,3,Q6-1751,Q6-1751,Q6-1542,Q6-1542,Q6-1741,Q6-1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10:51:26,4,84,https://vhlss23test.surveycto.com/view/submission-attachment/1696305150709.jpg?uuid=uuid%3Adb02ba08-5a4b-47e1-8f6a-ee2b363c19e4,Tốt,vPLgT4JJBcbPzUGUssuxcS,uuid:db02ba08-5a4b-47e1-8f6a-ee2b363c19e4,2306161529,uuid:db02ba08-5a4b-47e1-8f6a-ee2b363c19e4,79,Q6-1751,RIA1,Q6-1542,RIA1,Q6-1741,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Tinh Quang Binh,3_NCCCA,1,1.00E+06,TRUE,FALSE,17.28396956,106.8213001
56,44,10/03/2023 21:45,10/03/2023 09:02,10/03/2023 14:39,03-Oct-23,056cac11318aed22,3,457,19288,31001,Chủ trại,option_4,,08:20:56,1,1,1,Bảo lộc,option_4,,Công ty bảo lộc Miền Nam,option_2,,51,535,21484,option_1,option_1,option_1,option_3,option_99,2,option_1,option_2,0,1000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,08:22:50,1,1,Bảo lộc,1,-1.6,4.3,3,1 cơ sở,3,Q5-1365,Q5-1365,Q6-1598,Q6-1598,Q6-1736,Q6-1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,09:24:23,1,61,https://vhlss23test.surveycto.com/view/submission-attachment/1696301694962.jpg?uuid=uuid%3Ac401ad2d-c322-4a3e-8c8c-d257958fde71,"Rất tốt . 
Trại có giống cá bảo lộc, nhưng trong 12 tháng qua thị trường không bán được cá giống rô phi vì có nhiều tin đồn không hay.",vPLgT4JJBcbPzUGUssuxcS,uuid:c401ad2d-c322-4a3e-8c8c-d257958fde71,2306161529,uuid:c401ad2d-c322-4a3e-8c8c-d257958fde71,52,Q5-1365,03_BEST,Q6-1598,03_BEST,Q6-1736,03_BEST,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,03_BEST,,,Other,Other,Tinh Quang Binh,3_NCCCA,1,2,FALSE,FALSE,17.22049906,106.8942813
57,46,10/09/2023 07:11,10/08/2023 09:19,10/08/2023 09:41,08-Oct-23,056cac11318aed22,3,476,19837,81002,Nhân viên,option_4,,09:22:05,1,1,1,Bảo lộc,option_4,,Trại cá ông liêm,option_1,914006693,46,474,19750,option_1,option_1,option_2,,option_99,5,option_4,option_1,100,1000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,09:25:33,1,1,Bảo lộc,1,-3.4,4.2,25,1 cơ sở,3,Q6-1755,,Q6-1579,,Q6-1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,09:40:36,3,15,https://vhlss23test.surveycto.com/view/submission-attachment/1696732848975.jpg?uuid=uuid%3Aa15a194a-1363-4392-af25-1497ab89fb9a,Tốt,vPLgT4JJBcbPzUGUssuxcS,uuid:a15a194a-1363-4392-af25-1497ab89fb9a,2306161529,uuid:a15a194a-1363-4392-af25-1497ab89fb9a,22,,,Q6-1579,RIA1,Q6-1729,RIA1,,,,,,,,,,,,,2,TRUE,FALSE,FALSE,None,,,GIFT-derived,Other,Tinh Thua Thien Hue,3_NCCCA,1,4500,FALSE,TRUE,16.6102096,107.3964137
58,46,10/09/2023 07:11,10/08/2023 08:20,10/08/2023 08:53,08-Oct-23,056cac11318aed22,3,476,19837,81001,Chủ trại,option_4,,08:22:57,1,1,1,Cá rô phi đơn tính,option_4,,Trại giống ông liêm,option_1,914006693,46,474,19750,option_1,option_1,option_2,,option_99,1,option_4,option_1,100,2000,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,08:28:10,1,1,Cá rô phi đơn tính,3,-3.4,5,15,3 cơ sờ (1:1:1),3,Q6-1727,,Q6-1503,,Q6-1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,08:51:27,5,23,https://vhlss23test.surveycto.com/view/submission-attachment/1696729898496.jpg?uuid=uuid%3A3cdb999f-9e8f-427c-8d6a-f17d46647246,Trại cá có duy trì đàn giống nhưng trong 5 năm trở lại đây không bán được cá giống nên để nuôi.,vPLgT4JJBcbPzUGUssuxcS,uuid:3cdb999f-9e8f-427c-8d6a-f17d46647246,2306161529,uuid:3cdb999f-9e8f-427c-8d6a-f17d46647246,85,,,Q6-1503,RIA1,Q6-1510,RIA1,,,,,,,,,,,,,2,TRUE,FALSE,FALSE,None,,,GIFT-derived,Other,Tinh Thua Thien Hue,3_NCCCA,1,900,FALSE,TRUE,16.64770566,107.3506911
59,48,10/25/2023 15:04,10/13/2023 10:42,10/13/2023 10:48,13-Oct-23,056cac11318aed22,3,490,20195,131001,Chủ htx,option_3,,10:44:24,1,1,1,Đường nghiệp,option_1,,Viện thủy sản 1,option_2,,1,20,,option_1,option_4,option_2,,option_99,1,option_3,option_1,4,1000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_1,option_1,1,0,0,0,0,0,0,,10:45:46,1,1,Đường nghiệp,1,-3.6,5,30,1 cơ sở,3,Q6-1597,,Q6-1571,,Q6-1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10:47:42,1,1,https://vhlss23test.surveycto.com/view/submission-attachment/1697168886828.jpg?uuid=uuid%3Afa5f8c33-cfc4-409c-813d-15ad4d260e95,Tốt,vPLgT4JJBcbPzUGUssuxcS,uuid:fa5f8c33-cfc4-409c-813d-15ad4d260e95,2306161529,uuid:fa5f8c33-cfc4-409c-813d-15ad4d260e95,41,Q6-1597,RIA1,Q6-1571,RIA1,Q6-1529,RIA1,,,,,,,,,,,,,3,TRUE,FALSE,FALSE,RIA1,,,GIFT-derived,GIFT-derived,Thanh pho Da Nang,3_NCCCA,1,10000,FALSE,FALSE,16.07845496,108.1462873
60,52,10/11/2023 16:27,10/11/2023 14:37,10/11/2023 14:52,11-Oct-23,056cac11318aed22,3,549,21943,111001,Chủ trại,option_4,,14:40:46,1,1,1,Rô phi lưỡng tính đài loan,option_4,,Bá Vương,option_1,935700568,52,549,21946,option_2,,,,option_2,300,option_4,option_1,100,650,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,option_2,,option_2,,,,,,,,,,14:46:03,1,1,Rô phi lưỡng tính đài loan,1,8.2,4.8,10,1 cơ sở,3,Q6-1724,,Q6-1530,,Q6-1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14:50:35,5,4,https://vhlss23test.surveycto.com/view/submission-attachment/1697010690649.jpg?uuid=uuid%3A6742f0a7-689f-4841-8d8d-9f4396a0c077,Tốt,vPLgT4JJBcbPzUGUssuxcS,uuid:6742f0a7-689f-4841-8d8d-9f4396a0c077,2306161529,uuid:6742f0a7-689f-4841-8d8d-9f4396a0c077,39,,,Q6-1530,RIA1,,,,,,,,,,,,,,,1,FALSE,FALSE,FALSE,None,,,GIFT-derived,Other,Tinh Binh Dinh,3_NCCCA,1,270000,FALSE,TRUE,13.86833357,109.1066551
