"","MATINH","MAHUYEN","MAXA","M43_C2","pfes_dummy","panel"
"1","01","016","00400",NA,0,2024
"2","01","016","00439",NA,0,2024
"3","01","018","00550",NA,0,2024
"4","01","018","00553",NA,0,2024
"5","01","020","00661",NA,0,2024
"6","02","026","00766",917.42,1,2024
"7","02","028","00847",1278.9,1,2024
"8","02","029","00889",1532,1,2024
"9","02","030","00925",NA,0,2024
"10","02","032","01090",2100.28,1,2024
"11","02","034","01195",6273.61,1,2024
"12","02","035","01228",5394.17,1,2024
"13","04","042","01316",1440.46,1,2024
"14","04","047","01465",713.29,1,2024
"15","04","048","01549",NA,0,2024
"16","04","051","01666",3136.98,1,2024
"17","04","051","01675",NA,0,2024
"18","04","040","01720",NA,0,2024
"19","06","060","01870",654.9,1,2024
"20","06","063","01990",NA,0,2024
"21","06","063","02017",NA,0,2024
"22","06","064","02050",NA,0,2024
"23","06","065","02116",NA,0,2024
"24","06","066","02197",NA,0,2024
"25","08","073","02338",NA,0,2024
"26","08","073","02341",6216.1,1,2024
"27","08","073","02353",NA,0,2024
"28","08","073","02365",1237.8,1,2024
"29","08","076","02545",NA,0,2024
"30","08","076","02548",NA,0,2024
"31","08","076","02554",NA,0,2024
"32","08","076","02572",NA,0,2024
"33","10","080","02665",NA,0,2024
"34","10","082","02749",152,1,2024
"35","10","084","02812",NA,0,2024
"36","10","085","02863",NA,0,2024
"37","10","087","02989",NA,0,2024
"38","10","088","03013",0,1,2024
"39","11","096","03158",4943.26,1,2024
"40","11","103","03170",1999.22,1,2024
"41","11","099","03284",200,1,2024
"42","11","102","03302",1295.01,1,2024
"43","11","094","03316",NA,0,2024
"44","11","101","03371",9.018,1,2024
"45","12","106","03394",857,1,2024
"46","12","112","03503",4000,1,2024
"47","12","108","03526",0,1,2024
"48","12","109","03565",2135.19,1,2024
"49","12","109","03571",1177.63,1,2024
"50","12","109","03589",348.08,1,2024
"51","14","118","03709",2222,1,2024
"52","14","119","03751",938,1,2024
"53","14","119","03799",1405,1,2024
"54","14","120","03835",1159,1,2024
"55","14","123","04030",2221.14,1,2024
"56","14","128","04058",1773.88,1,2024
"57","14","124","04093",4526.66,1,2024
"58","14","125","04126",284.12,1,2024
"59","14","125","04138",616.94,1,2024
"60","15","136","04378",NA,0,2024
"61","15","136","04414",NA,0,2024
"62","15","136","04420",NA,0,2024
"63","15","138","04519",NA,0,2024
"64","15","140","04699",1691.7,1,2024
"65","15","140","04705",3872.9,1,2024
"66","15","141","04732",411.5,1,2024
"67","17","153","04987",NA,0,2024
"68","17","153","05068",NA,0,2024
"69","17","153","05086",NA,0,2024
"70","17","157","05305",NA,0,2024
"71","17","158","05389",NA,0,2024
"72","17","159","05398",NA,0,2024
"73","17","159","05428",NA,0,2024
"74","19","167","05599",NA,0,2024
"75","19","167","05605",NA,0,2024
"76","19","168","05632",NA,0,2024
"77","19","170","05722",NA,0,2024
"78","19","172","05887",NA,0,2024
"79","19","173","05917",NA,0,2024
"80","19","173","05929",NA,0,2024
"81","20","180","06055",NA,0,2024
"82","20","183","06235",NA,0,2024
"83","20","183","06250",NA,0,2024
"84","20","186","06442",NA,0,2024
"85","20","187","06472",NA,0,2024
"86","20","188","06595",NA,0,2024
"87","22","201","06928",NA,0,2024
"88","22","202","06988",NA,0,2024
"89","22","193","07033",NA,0,2024
"90","22","193","07057",NA,0,2024
"91","24","215","07285",NA,0,2024
"92","24","216","07327",NA,0,2024
"93","24","216","07333",NA,0,2024
"94","24","218","07480",NA,0,2024
"95","24","218","07510",NA,0,2024
"96","24","218","07516",NA,0,2024
"97","24","219","07549",NA,0,2024
"98","24","222","07759",NA,0,2024
"99","24","222","07771",NA,0,2024
"100","24","222","07780",NA,0,2024
"101","25","231","08092",NA,0,2024
"102","25","231","08143",NA,0,2024
"103","25","232","08206",NA,0,2024
"104","25","234","08335",NA,0,2024
"105","25","235","08380",NA,0,2024
"106","25","236","08467",NA,0,2024
"107","25","227","08515",NA,0,2024
"108","25","237","08521",NA,0,2024
"109","25","240","08548",NA,0,2024
"110","25","239","08677",NA,0,2024
"111","26","244","08749",NA,0,2024
"112","26","246","08767",NA,0,2024
"113","26","246","08845",NA,0,2024
"114","26","251","09031",NA,0,2024
"115","26","251","09046",NA,0,2024
"116","26","251","09064",NA,0,2024
"117","27","258","09217",NA,0,2024
"118","27","259","09277",NA,0,2024
"119","27","259","09301",NA,0,2024
"120","27","260","09346",NA,0,2024
"121","27","260","09364",NA,0,2024
"122","27","262","09448",NA,0,2024
"123","27","263","09493",NA,0,2024
"124","27","264","09514",NA,0,2024
"125","27","264","09520",NA,0,2024
"126","01","269","09610",NA,0,2024
"127","01","272","09745",NA,0,2024
"128","01","272","09769",NA,0,2024
"129","01","273","09826",NA,0,2024
"130","01","274","09877",NA,0,2024
"131","01","276","09988",NA,0,2024
"132","01","277","10039",NA,0,2024
"133","01","279","10186",NA,0,2024
"134","01","279","10192",NA,0,2024
"135","01","280","10345",NA,0,2024
"136","01","281","10369",NA,0,2024
"137","01","282","10480",NA,0,2024
"138","30","291","10615",NA,0,2024
"139","30","288","10663",NA,0,2024
"140","30","293","10804",NA,0,2024
"141","30","288","10822",NA,0,2024
"142","30","294","10828",NA,0,2024
"143","30","294","10861",NA,0,2024
"144","30","297","11038",NA,0,2024
"145","30","297","11056",NA,0,2024
"146","30","298","11083",NA,0,2024
"147","30","298","11092",NA,0,2024
"148","30","300","11275",NA,0,2024
"149","31","311","11485",NA,0,2024
"150","31","311","11512",NA,0,2024
"151","31","311","11527",NA,0,2024
"152","31","312","11617",NA,0,2024
"153","31","313","11659",NA,0,2024
"154","31","313","11662",NA,0,2024
"155","31","314","11710",NA,0,2024
"156","31","316","11872",NA,0,2024
"157","31","316","11890",NA,0,2024
"158","33","325","11989",NA,0,2024
"159","33","325","12007",NA,0,2024
"160","33","325","12016",NA,0,2024
"161","33","326","12022",NA,0,2024
"162","33","328","12133",NA,0,2024
"163","33","329","12160",NA,0,2024
"164","33","329","12169",NA,0,2024
"165","33","330","12208",NA,0,2024
"166","33","331","12298",NA,0,2024
"167","33","332","12346",NA,0,2024
"168","33","332","12349",NA,0,2024
"169","34","338","12493",NA,0,2024
"170","34","338","12517",NA,0,2024
"171","34","339","12652",NA,0,2024
"172","34","340","12691",NA,0,2024
"173","34","340","12721",NA,0,2024
"174","34","340","12739",NA,0,2024
"175","34","341","12901",NA,0,2024
"176","34","341","12937",NA,0,2024
"177","34","342","13018",NA,0,2024
"178","34","342","13060",NA,0,2024
"179","34","343","13132",NA,0,2024
"180","34","343","13165",NA,0,2024
"181","34","336","13225",NA,0,2024
"182","34","344","13270",NA,0,2024
"183","34","344","13282",NA,0,2024
"184","35","350","13399",NA,0,2024
"185","35","350","13405",NA,0,2024
"186","35","350","13432",NA,0,2024
"187","35","347","13444",NA,0,2024
"188","35","351","13477",NA,0,2024
"189","35","353","13588",NA,0,2024
"190","35","353","13612",NA,0,2024
"191","35","353","13621",NA,0,2024
"192","36","358","13723",NA,0,2024
"193","36","358","13726",NA,0,2024
"194","36","360","13825",NA,0,2024
"195","36","360","13834",NA,0,2024
"196","36","361","13918",NA,0,2024
"197","36","361","13963",NA,0,2024
"198","36","362","13981",NA,0,2024
"199","36","362","14014",NA,0,2024
"200","36","364","14095",NA,0,2024
"201","36","364","14134",NA,0,2024
"202","36","365","14173",NA,0,2024
"203","36","365","14185",NA,0,2024
"204","36","366","14269",NA,0,2024
"205","37","372","14386",NA,0,2024
"206","37","374","14536",NA,0,2024
"207","37","375","14563",NA,0,2024
"208","37","375","14572",NA,0,2024
"209","37","375","14575",NA,0,2024
"210","37","376","14683",NA,0,2024
"211","37","377","14731",NA,0,2024
"212","37","377","14737",NA,0,2024
"213","37","377","14746",NA,0,2024
"214","38","385","14887",NA,0,2024
"215","38","389","15079",NA,0,2024
"216","38","390","15148",NA,0,2024
"217","38","393","15361",NA,0,2024
"218","38","394","15433",NA,0,2024
"219","38","394","15478",NA,0,2024
"220","38","397","15673",NA,0,2024
"221","38","398","15775",NA,0,2024
"222","38","398","15802",NA,0,2024
"223","38","399","15910",NA,0,2024
"224","38","399","16003",NA,0,2024
"225","38","403","16261",NA,0,2024
"226","38","404","16297",NA,0,2024
"227","38","404","16321",NA,0,2024
"228","38","407","16648",NA,0,2024
"229","40","412","16705",NA,0,2024
"230","40","415","16771",56,1,2024
"231","40","419","16987",NA,0,2024
"232","40","414","17014",NA,0,2024
"233","40","421","17170",NA,0,2024
"234","40","421","17206",NA,0,2024
"235","40","423","17302",NA,0,2024
"236","40","423","17305",NA,0,2024
"237","40","426","17515",NA,0,2024
"238","40","426","17524",NA,0,2024
"239","40","426","17587",NA,0,2024
"240","40","426","17593",NA,0,2024
"241","40","428","17818",NA,0,2024
"242","40","429","17857",NA,0,2024
"243","40","429","17881",NA,0,2024
"244","40","430","17983",NA,0,2024
"245","42","439","18184",NA,0,2024
"246","42","439","18211",NA,0,2024
"247","42","443","18436",NA,0,2024
"248","42","443","18445",NA,0,2024
"249","42","444","18556",816,1,2024
"250","42","448","18580",NA,0,2024
"251","42","446","18697",NA,0,2024
"252","42","446","18742",NA,0,2024
"253","44","454","19051",NA,0,2024
"254","44","458","19084",NA,0,2024
"255","44","458","19093",NA,0,2024
"256","44","458","19105",NA,0,2024
"257","44","455","19117",NA,0,2024
"258","44","455","19129",NA,0,2024
"259","44","455","19168",NA,0,2024
"260","44","457","19312",NA,0,2024
"261","45","465","19456",NA,0,2024
"262","45","465","19483",NA,0,2024
"263","45","468","19603",NA,0,2024
"264","45","468","19606",NA,0,2024
"265","45","470","19702",NA,0,2024
"266","45","470","19729",NA,0,2024
"267","46","476","19861",325,1,2024
"268","46","477","19888",NA,0,2024
"269","46","478","19933",NA,0,2024
"270","46","480","20005",NA,0,2024
"271","46","480","20041",NA,0,2024
"272","48","497","20302",NA,0,2024
"273","48","497","20308",NA,0,2024
"274","49","502","20371",138,1,2024
"275","49","502","20389",NA,0,2024
"276","49","508","20620",NA,0,2024
"277","49","508","20626",NA,0,2024
"278","49","509","20650",NA,0,2024
"279","49","513","20836",NA,0,2024
"280","49","514","20893",NA,0,2024
"281","49","517","20989",NA,0,2024
"282","49","517","20998",NA,0,2024
"283","51","524","21079",NA,0,2024
"284","51","524","21082",NA,0,2024
"285","51","524","21085",NA,0,2024
"286","51","525","21157",381,1,2024
"287","51","529","21325",NA,0,2024
"288","51","531","21358",NA,0,2024
"289","51","532","21379",NA,0,2024
"290","51","532","21388",26.64,1,2024
"291","51","535","21487",NA,0,2024
"292","51","535","21508",NA,0,2024
"293","52","543","21652",NA,0,2024
"294","52","544","21715",NA,0,2024
"295","52","547","21817",NA,0,2024
"296","52","547","21829",NA,0,2024
"297","52","548","21871",NA,0,2024
"298","52","548","21883",NA,0,2024
"299","52","550","21973",NA,0,2024
"300","52","551","22006",NA,0,2024
"301","54","555","22045",NA,0,2024
"302","54","557","22060",NA,0,2024
"303","54","560","22198",NA,0,2024
"304","54","561","22216",16.86,1,2024
"305","54","561","22234",NA,0,2024
"306","54","562","22285",NA,0,2024
"307","54","564","22291",NA,0,2024
"308","56","568","22384",NA,0,2024
"309","56","571","22513",NA,0,2024
"310","56","571","22516",NA,0,2024
"311","56","572","22540",NA,0,2024
"312","56","572","22552",NA,0,2024
"313","56","574","22705",568.46,1,2024
"314","58","586","22855",NA,0,2024
"315","58","586","22861",NA,0,2024
"316","58","587","22882",NA,0,2024
"317","58","587","22888",NA,0,2024
"318","58","589","22910",NA,0,2024
"319","60","593","22960",NA,0,2024
"320","60","595","22996",NA,0,2024
"321","60","597","23065",7020.23,1,2024
"322","60","597","23104",NA,0,2024
"323","60","598","23119",NA,0,2024
"324","60","599","23179",NA,0,2024
"325","60","602","23275",NA,0,2024
"326","62","608","23320",NA,0,2024
"327","62","611","23395",NA,0,2024
"328","62","612","23440",NA,0,2024
"329","62","617","23449",2230.68,1,2024
"330","62","614","23497",2359.76,1,2024
"331","62","615","23521",NA,0,2024
"332","64","622","23590",NA,0,2024
"333","64","622","23611",NA,0,2024
"334","64","625","23647",1500,1,2024
"335","64","625","23650",7176,1,2024
"336","64","629","23818",NA,0,2024
"337","64","632","23888",NA,0,2024
"338","64","632","23914",NA,0,2024
"339","64","632","23924",NA,0,2024
"340","66","645","24190",NA,0,2024
"341","66","647","24247",NA,0,2024
"342","66","647","24250",NA,0,2024
"343","66","648","24271",NA,0,2024
"344","66","651","24397",NA,0,2024
"345","66","652","24415",1560.34,1,2024
"346","66","653","24487",7745,1,2024
"347","66","654","24496",NA,0,2024
"348","66","657","24541",NA,0,2024
"349","66","657","24550",NA,0,2024
"350","67","660","24618",NA,0,2024
"351","67","662","24658",NA,0,2024
"352","67","663","24677",NA,0,2024
"353","67","663","24685",NA,0,2024
"354","67","667","24742",NA,0,2024
"355","67","666","24745",NA,0,2024
"356","67","667","24746",NA,0,2024
"357","68","672","24808",NA,0,2024
"358","68","676","24904",250,1,2024
"359","68","677","24949",NA,0,2024
"360","68","678","24988",3150,1,2024
"361","68","678","24994",1200,1,2024
"362","68","679","25042",NA,0,2024
"363","68","682","25153",NA,0,2024
"364","70","698","25252",NA,0,2024
"365","70","698","25264",NA,0,2024
"366","70","692","25294",NA,0,2024
"367","70","692","25297",NA,0,2024
"368","70","694","25349",NA,0,2024
"369","70","695","25369",NA,0,2024
"370","70","696","25414",NA,0,2024
"371","72","703","25471",NA,0,2024
"372","72","705","25504",NA,0,2024
"373","72","707","25555",NA,0,2024
"374","72","707","25567",NA,0,2024
"375","72","708","25591",NA,0,2024
"376","72","708","25618",NA,0,2024
"377","72","710","25660",NA,0,2024
"378","72","710","25672",NA,0,2024
"379","72","712","25711",NA,0,2024
"380","72","712","25729",NA,0,2024
"381","74","720","25786",NA,0,2024
"382","74","720","25789",NA,0,2024
"383","74","726","25894",NA,0,2024
"384","75","732","26107",NA,0,2024
"385","75","734","26128",33.5,1,2024
"386","75","734","26152",NA,0,2024
"387","75","735","26194",NA,0,2024
"388","75","737","26272",NA,0,2024
"389","75","738","26305",NA,0,2024
"390","75","738","26320",NA,0,2024
"391","75","739","26359",NA,0,2024
"392","75","740","26422",NA,0,2024
"393","75","742","26485",NA,0,2024
"394","75","742","26503",NA,0,2024
"395","77","748","26572",NA,0,2024
"396","77","753","26701",NA,0,2024
"397","77","754","26707",NA,0,2024
"398","77","754","26728",NA,0,2024
"399","77","754","26731",NA,0,2024
"400","79","783","27499",NA,0,2024
"401","79","783","27535",NA,0,2024
"402","79","784","27586",NA,0,2024
"403","79","784","27592",NA,0,2024
"404","79","785","27598",NA,0,2024
"405","79","785","27628",NA,0,2024
"406","80","794","27718",NA,0,2024
"407","80","796","27751",NA,0,2024
"408","80","798","27820",NA,0,2024
"409","80","800","27874",NA,0,2024
"410","80","802","27967",NA,0,2024
"411","80","802","27973",NA,0,2024
"412","80","803","28033",NA,0,2024
"413","80","804","28045",NA,0,2024
"414","80","806","28132",NA,0,2024
"415","80","807","28162",NA,0,2024
"416","80","807","28198",NA,0,2024
"417","82","816","28318",NA,0,2024
"418","82","819","28432",NA,0,2024
"419","82","820","28444",NA,0,2024
"420","82","817","28477",NA,0,2024
"421","82","820","28495",NA,0,2024
"422","82","820","28507",NA,0,2024
"423","82","822","28627",NA,0,2024
"424","82","822","28636",NA,0,2024
"425","82","822","28645",NA,0,2024
"426","82","822","28648",NA,0,2024
"427","82","816","28717",NA,0,2024
"428","82","816","28729",NA,0,2024
"429","83","829","28783",NA,0,2024
"430","83","829","28786",NA,0,2024
"431","83","831","28840",NA,0,2024
"432","83","831","28846",NA,0,2024
"433","83","833","28940",NA,0,2024
"434","83","833","28966",NA,0,2024
"435","83","834","29014",NA,0,2024
"436","83","834","29026",NA,0,2024
"437","83","836","29122",NA,0,2024
"438","83","836","29125",NA,0,2024
"439","83","837","29188",NA,0,2024
"440","83","837","29194",NA,0,2024
"441","84","844","29278",NA,0,2024
"442","84","844","29284",NA,0,2024
"443","84","845","29320",NA,0,2024
"444","84","846","29347",NA,0,2024
"445","84","847","29398",NA,0,2024
"446","84","848","29437",NA,0,2024
"447","84","848","29440",NA,0,2024
"448","84","849","29467",NA,0,2024
"449","84","851","29515",NA,0,2024
"450","86","857","29599",NA,0,2024
"451","86","858","29644",NA,0,2024
"452","86","858","29650",NA,0,2024
"453","86","859","29716",NA,0,2024
"454","86","860","29725",NA,0,2024
"455","86","863","29779",NA,0,2024
"456","86","861","29812",NA,0,2024
"457","86","862","29830",NA,0,2024
"458","87","866","29896",NA,0,2024
"459","87","870","29998",NA,0,2024
"460","87","871","30010",NA,0,2024
"461","87","873","30079",NA,0,2024
"462","87","873","30112",NA,0,2024
"463","87","874","30145",NA,0,2024
"464","87","875","30175",NA,0,2024
"465","87","875","30202",NA,0,2024
"466","87","877","30253",NA,0,2024
"467","87","877","30268",NA,0,2024
"468","89","886","30370",NA,0,2024
"469","89","887","30397",NA,0,2024
"470","89","888","30421",NA,0,2024
"471","89","888","30436",NA,0,2024
"472","89","890","30538",NA,0,2024
"473","89","890","30541",NA,0,2024
"474","89","891","30574",NA,0,2024
"475","89","892","30625",NA,0,2024
"476","89","893","30667",NA,0,2024
"477","89","894","30700",NA,0,2024
"478","91","902","30809",NA,0,2024
"479","91","903","30835",NA,0,2024
"480","91","903","30836",NA,0,2024
"481","91","904","30877",NA,0,2024
"482","91","906","30943",NA,0,2024
"483","91","906","30947",NA,0,2024
"484","91","907","30967",NA,0,2024
"485","91","910","31075",NA,0,2024
"486","91","911","31087",NA,0,2024
"487","91","912","31111",NA,0,2024
"488","92","925","31249",NA,0,2024
"489","92","925","31264",NA,0,2024
"490","92","927","31298",NA,0,2024
"491","93","932","31357",NA,0,2024
"492","93","934","31408",NA,0,2024
"493","93","934","31417",NA,0,2024
"494","93","934","31426",NA,0,2024
"495","93","937","31480",NA,0,2024
"496","93","937","31481",NA,0,2024
"497","93","936","31483",NA,0,2024
"498","94","942","31576",NA,0,2024
"499","94","944","31603",NA,0,2024
"500","94","944","31609",NA,0,2024
"501","94","946","31663",NA,0,2024
"502","94","946","31666",NA,0,2024
"503","94","951","31672",NA,0,2024
"504","94","951","31681",NA,0,2024
"505","94","951","31687",NA,0,2024
"506","94","951","31696",NA,0,2024
"507","95","954","31834",NA,0,2024
"508","95","956","31858",NA,0,2024
"509","95","956","31863",NA,0,2024
"510","95","958","31903",NA,0,2024
"511","95","961","31930",NA,0,2024
"512","95","959","31963",NA,0,2024
"513","95","960","31981",NA,0,2024
"514","96","964","32026",NA,0,2024
"515","96","964","32041",NA,0,2024
"516","96","967","32083",NA,0,2024
"517","96","968","32104",NA,0,2024
"518","96","968","32107",NA,0,2024
